contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Stadhuis, Korte Minrebroederstr. 2",0344::SB1,3512 GG,3600,1828,150,12,0,0,2,1867,121,0,0,0,0,0,0,1990,504,115,283,373,57,136,93,11,256
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Jacobikerk, St.-Jacobsstraat 171",0344::SB3,3511 BP,1501,779,71,6,0,0,0,785,69,0,0,2,0,2,0,854,175,94,130,122,43,48,44,5,118
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Kargadoor, Oudegracht 36",0344::SB4,3511 AP,1519,835,73,9,0,0,0,858,59,0,0,0,0,0,0,917,219,41,153,143,26,58,29,5,161
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Utrechtse School Wittevrouwenkade 4,0344::SB5,3512 CR,1359,819,70,8,0,0,0,877,20,0,0,0,0,0,0,897,237,52,150,132,18,65,21,1,143
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau School, Pieterskerkhof 10",0344::SB6,3512 JR,1888,993,61,5,0,0,0,1034,26,0,1,0,1,0,0,1060,276,77,178,157,27,55,52,13,158
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Gymzaal, Nicolaasdwarsstraat 3",0344::SB7,3512 XG,1840,946,56,16,0,3,0,936,85,0,0,0,3,0,0,1021,283,71,166,149,30,64,42,7,134
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Barth.Gasthuis, Lange Smeestraat 40",0344::SB8,3511 PZ,1581,1160,44,12,0,3,0,1121,94,0,2,1,0,0,0,1215,344,57,218,142,37,79,63,7,213
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau School, Laan van Puntenburg 2 A",0344::SB9,3511 ER,1227,544,40,5,0,0,0,548,40,0,0,1,0,1,0,588,169,35,80,123,17,32,26,5,57
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Kantoorgebouw,  A.v.Schendelstr 550",0344::SB10,3511 MH,1207,506,28,1,0,0,0,498,41,0,4,0,4,0,0,539,134,30,96,100,13,39,15,1,78
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Parkschool, Van Riebeeckstraat 40",0344::SB12,3531 EJ,2893,987,2,3,1,0,1,934,58,0,0,0,1,0,0,993,292,58,230,98,40,55,56,7,151
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Kade Ateliers, Leidekade 117",0344::SB14,3531 HD,1545,774,0,7,0,0,3,730,48,0,0,0,0,0,0,781,269,43,187,55,25,47,35,3,110
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Gymzaal, Maetsuykerstraat 2",0344::SB15,3531 HS,3342,841,89,10,0,0,2,869,69,0,0,0,0,0,0,940,241,49,177,82,39,57,38,3,155
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau School, Staringstraat 1",0344::SB16,3532 VM,3383,1233,96,10,0,0,0,1253,86,0,0,0,0,0,0,1339,331,94,293,135,37,84,57,10,192
De Stichtse Rijnlanden,Utrecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau School, Louis Couperusstraat 85",0344::SB18,3532 CX,1369,667,47,4,1,0,0,719,0,0,0,0,1,0,0,719,216,42,133,66,13,46,44,2,105
