contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau De Moutheuvel,0971::SB1,6171 HS,1340,565,31,12,0,0,0,542,66,0,0,0,0,0,0,608,21,366,56,12,20,10,37,43
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeentehuis,0971::SB2,6171 KP,1539,586,15,10,0,0,0,550,61,0,0,0,0,0,0,611,24,351,69,16,9,16,50,51
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zalencentrum Kerensheide,0971::SB3,6171 AM,1222,510,31,13,0,0,0,501,53,0,0,0,0,0,0,554,20,324,55,14,11,9,45,32
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Kerensheide,0971::SB4,6171 BS,1306,408,16,5,0,0,0,384,45,0,0,0,0,0,0,429,14,259,56,8,0,11,28,32
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Café-Brasserie Merode,0971::SB6,6171 XM,1000,372,9,12,0,0,0,349,44,0,0,0,0,0,0,393,18,246,44,3,7,2,23,29
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool De Brök,0971::SB7,6171 HK,1027,558,28,11,0,0,0,538,58,0,0,596,0,1,0,596,30,337,73,12,12,16,36,42
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Fanfarezaal De Hoorn,0971::SB8,6181 NX,1366,426,25,8,0,0,0,413,46,0,0,0,0,0,0,459,8,293,39,9,11,10,32,24
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Bramerthof,0971::SB11,6129 PV,1061,306,7,7,0,0,0,297,23,0,0,0,0,0,0,320,12,197,41,3,7,10,12,24
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Woonzorgcentrum Urmonderhof,0971::SB12,6129 PB,964,506,23,11,0,0,0,479,61,0,0,0,0,0,0,540,18,326,57,8,4,26,27,40
Roer en Overmaas,Stein,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Fanfarezaal,0971::SB13,6129 CR,1162,332,17,9,0,0,0,324,34,0,0,0,0,0,0,358,12,201,56,13,2,16,19,13
