contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Voormalige basisschool Het Molenven,0865::SB1,5261 AE,1527,891,32,14,0,0,0,848,89,0,0,0,0,0,0,937,337,135,95,50,214,26,0,34
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Woonzorgcentrum Elisabeth,0865::SB2,5261 VM,1475,742,32,6,0,0,0,702,78,0,0,0,0,0,0,780,308,105,86,31,132,27,4,49
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Visio De Vlasborch,0865::SB3,5261 TB,1672,606,6,1,0,0,1,568,44,0,0,0,0,0,0,613,270,56,88,52,54,23,1,62
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Woonzorgcentrum De Braacken,0865::SB4,5263 AT,1547,782,34,5,0,0,0,719,102,0,0,0,0,0,0,821,237,103,80,29,275,27,4,27
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Brasserie Brac,0865::SB5,5263 CN,1608,918,18,15,0,0,2,814,135,0,0,0,0,0,0,951,268,124,42,19,428,28,2,7
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau The Battle Axe,0865::SB6,5266 AG,1035,290,4,0,0,0,0,263,30,0,0,1,0,1,0,293,89,51,26,20,81,8,3,12
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gebouw Schoonveld,0865::SB7,5262 XD,1671,770,31,6,0,0,0,722,85,0,0,0,0,0,0,807,354,92,101,34,136,15,4,34
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gebouw De Gouden Zonne,0865::SB8,5262 BA,1426,509,22,3,0,0,0,476,58,0,0,0,0,0,0,534,244,49,63,28,72,23,1,29
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool De Wieken,0865::SB9,5262 EN,1291,623,29,2,0,0,2,586,66,0,0,0,0,0,0,654,251,96,71,37,75,28,6,59
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau OJBS De Lichtstraat,0865::SB10,5262 JH,1333,534,23,7,0,0,0,507,57,0,0,0,0,0,0,564,258,56,66,31,73,15,2,33
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Basisschool De Baarzen,0865::SB11,5262 HC,1260,848,25,3,0,0,0,785,91,0,0,0,0,0,0,876,383,99,110,55,99,32,15,55
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Woonzorgcentrum Theresia,0865::SB12,5262 TN,1630,784,31,6,0,0,0,756,65,0,0,0,0,0,0,821,364,76,109,50,84,25,14,62
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Paviljoen Bergenshuizen,0865::SB13,5262 LK,1896,506,8,2,0,0,0,462,54,0,0,0,0,0,0,516,251,46,45,22,95,16,4,27
De Dommel,Vught,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Raadhuis,0865::SB14,5261 EV,1108,370,10,2,0,0,0,355,27,0,0,0,0,0,0,382,142,67,36,15,88,6,3,13
