contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1312,807,20,6,0,0,0,764,69,0,0,0,0,0,0,833,141,141,119,214,47,84,61
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1395,738,10,8,0,0,1,702,55,0,2,0,2,0,0,758,170,144,138,122,43,39,82
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1539,791,10,6,0,0,0,759,49,0,1,0,1,0,0,808,140,180,166,101,47,61,96
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zorgcentrum De Wester Es,1731::SB4,9411 LB,1714,706,16,14,0,0,0,682,54,0,0,0,0,0,0,736,185,114,102,127,46,45,87
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Kerkgebouw De Ark,1731::SB5,9411 NX,1825,821,14,1,0,0,0,764,72,0,0,0,0,0,0,836,169,129,124,156,81,82,80
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Dorpshoeve,1731::SB6,9415 PG,817,429,3,2,0,0,0,384,50,0,0,0,0,0,0,434,85,74,46,119,41,29,35
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,216,132,2,3,0,0,0,120,17,0,0,0,0,0,0,137,27,15,13,34,12,16,15
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1533,709,13,5,0,0,0,655,72,0,0,0,0,0,0,727,137,80,106,215,30,69,72
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau 't aole gemientehoes,1731::SB9,9431 AD,1309,882,12,6,0,0,0,806,94,0,0,0,0,0,0,900,175,131,111,316,21,81,47
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1037,526,6,1,0,0,0,478,55,0,0,0,0,0,0,533,82,79,114,159,9,41,42
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Sportclubgeb. Perkenslag,1731::SB11,9431 HE,1312,680,15,3,0,0,0,635,63,0,0,0,0,0,0,698,104,109,124,168,30,65,80
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Woonzorgcen. 't Derkshoes,1731::SB12,9431 LE,1060,608,12,2,0,1,0,561,60,0,0,1,0,0,0,621,163,70,84,207,14,32,38
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Heugte,1731::SB13,7938 PK,784,338,12,2,0,0,0,314,38,0,0,0,0,0,0,352,41,40,68,55,51,43,40
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Tille,1731::SB14,9439 PE,1021,546,2,1,0,0,0,490,59,0,0,0,0,0,0,549,81,122,82,141,13,48,59
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dienstencen.'t Beurtschip,1731::SB15,9422 HT,1408,629,11,3,0,0,0,592,51,0,0,0,0,0,0,643,137,95,100,73,66,82,76
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Zalencentrum Het Kompas,1731::SB16,9422 AA,1594,781,19,3,0,0,0,732,71,0,0,0,0,0,0,803,175,115,128,99,79,99,86
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau MFA De Spil,1731::SB17,9421 NN,1655,670,26,10,0,0,0,652,54,0,0,0,0,0,0,706,118,116,134,77,52,66,107
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Kerkelijk Centrum Het Kruispunt,1731::SB18,9421 PH,905,430,11,2,0,0,0,407,36,0,0,0,0,0,0,443,90,58,77,58,54,48,45
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Olde Bieb,1731::SB19,9423 PV,1377,559,7,4,0,0,0,507,63,0,0,0,0,0,0,570,143,78,78,93,27,68,72
Reest en Wieden,Midden-Drenthe,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Openbare Basisschool G.A. de Ridder,1731::SB20,9411 KV,1037,563,5,3,0,0,0,498,73,0,0,0,0,0,0,571,95,128,56,147,22,65,50
