contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Gemeentehuis Opheusden,1740::SB1,4043 KM,1191,787,4,1,0,0,7,625,160,0,0,0,0,0,0,792,71,24,56,43,15,501,27,16,5,17,7,5
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Wijkgebouw Opheusden,1740::SB2,4043 NM,1628,933,1,1,0,0,0,756,179,0,0,0,0,0,0,935,51,25,53,49,16,663,9,25,5,12,4,21
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Gebouw Eltheto Opheusden,1740::SB3,4043 KV,1515,792,2,2,0,0,0,635,162,0,0,0,1,0,1,797,58,18,54,37,5,550,17,25,8,8,2,10
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum 't Anker Kesteren,1740::SB4,4041 CA,2085,1124,3,3,0,3,0,949,184,0,0,0,3,0,0,1133,112,39,143,47,14,591,82,33,15,18,7,23
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Ons Dorpshuis Kesteren,1740::SB16,4041 XE,1823,1077,6,2,0,0,0,937,148,0,0,0,0,0,0,1085,109,41,185,47,20,487,76,53,17,17,6,19
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Basisschool Rehoboth Ochten,1740::SB17,4051 GS,1905,1020,8,6,0,0,0,891,141,0,0,2,0,2,0,1032,120,58,113,76,66,325,99,78,18,39,5,23
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Elim Ochten,1740::SB18,4051 AK,1716,1026,5,7,0,0,0,873,165,0,0,0,0,0,0,1038,140,40,153,44,35,356,82,97,20,35,9,15
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis Ons Tehuis IJzendoorn,1740::SB19,4053 JN,808,456,3,0,0,0,0,392,68,0,0,0,1,0,1,460,59,30,48,48,28,151,37,16,4,24,3,8
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis De Hoge Hof Echteld,1740::SB20,4054 MX,852,433,7,1,0,0,0,382,59,0,0,0,0,0,0,441,69,33,40,51,28,74,66,16,13,23,8,12
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Nannenberghuis Dodewaard,1740::SB21,6669 CJ,1680,796,11,0,0,1,2,707,99,0,0,0,1,0,0,808,116,42,149,71,29,175,41,90,22,19,9,33
Rivierenland,Neder-Betuwe,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Steegakker Dodewaard,1740::SB22,6669 CZ,1673,890,11,2,0,1,0,783,121,0,0,0,1,0,0,904,143,75,86,81,29,177,84,114,29,34,11,27
