contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gemeentehuis 1,0770::SB1,5521AW,1304,564,29,6,0,0,0,552,47,0,0,0,0,0,0,599,56,253,67,66,74,12,2,34
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Sporthal ""de Kraanvogel""",0770::SB2,5521JN,1348,470,11,6,0,0,0,447,41,0,1,0,1,0,0,488,76,173,54,66,38,21,4,38
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Dorpshuis ""de Smis""",0770::SB3,5525AN,1484,520,27,6,0,0,0,506,47,0,0,0,0,0,0,553,71,227,40,71,58,15,1,37
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Gemeenschapshuis ""de Höllekes""",0770::SB4,5524AX,1245,578,20,2,0,0,0,540,60,0,0,0,0,0,0,600,57,316,42,46,70,11,8,28
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Tenniscentrum Eersel,0770::SB5,5521TP,1272,667,24,12,0,0,1,629,73,0,0,0,0,0,0,703,96,250,42,52,164,24,5,34
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stichting JAM,0770::SB6,5521JK,1288,379,11,1,0,0,1,347,43,0,0,0,0,0,0,391,42,157,28,54,71,7,1,19
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Gemeentehuis 2,0770::SB7,5521AW,1394,796,28,10,0,0,0,755,79,0,0,0,0,0,0,834,110,305,78,72,141,39,6,45
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Gemeenschapshuis ""d'n Boogerd""",0770::SB8,5512AJ,1734,774,14,6,0,0,0,711,84,1,0,0,1,0,0,795,147,309,64,77,88,32,9,48
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Gemeenschapshuis ""de Rosdoek""",0770::SB9,5513AP,1504,666,24,2,0,0,1,611,80,0,0,0,0,0,0,692,124,309,32,68,77,19,2,35
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Gemeenschapshuis ""de Leenhoef""",0770::SB10,5511AE,1041,477,20,3,0,0,1,456,43,0,0,0,0,0,0,500,77,168,67,50,71,15,4,25
De Dommel,Eersel,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,"Stembureau Kerkebogten ""'t Stökske""",0770::SB11,5521WG,1243,469,11,3,0,0,0,446,37,0,0,0,0,0,0,483,62,190,29,71,62,13,7,35
