contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Man,0614::SB1,3233 AG,1031,719,17,14,0,0,0,675,75,0,0,0,0,0,0,750,363,52,31,49,112,1,36,5,26,23,21
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Bibliotheek Oostvoorne,0614::SB2,3233 AN,1154,394,5,4,0,0,0,354,49,0,0,0,0,0,0,403,184,17,22,33,82,0,20,5,16,1,14
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Leemgaarde,0614::SB3,3233 BR,1155,628,24,4,0,0,0,607,59,0,10,0,10,0,0,666,288,55,27,74,110,0,30,4,16,9,15
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Het Overbos,0614::SB4,3233 VL,1284,828,0,3,0,0,0,719,112,0,0,0,0,0,0,831,395,43,30,69,219,6,20,8,16,5,17
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Meander,0614::SB5,3233 GX,1407,513,5,2,0,0,0,473,47,0,0,0,0,0,0,520,241,34,28,52,56,10,26,5,22,16,23
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis,0614::SB6,3235 AP,1178,611,7,2,0,0,0,547,73,0,0,0,0,0,0,620,260,43,36,60,122,3,24,17,18,7,21
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Welkomskerk,0614::SB7,3235 BK,1320,575,9,4,0,0,0,530,58,0,0,0,0,0,0,588,289,56,22,45,64,4,47,9,14,11,14
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Stuifakkers,0614::SB8,3235 DZ,1160,509,6,2,0,0,0,468,49,0,0,0,0,0,0,517,247,51,31,26,77,3,36,4,11,10,13
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Merel,0614::SB9,3235 CE,1098,517,11,3,0,0,0,474,57,0,0,0,0,0,0,531,262,37,44,48,48,4,32,6,11,6,19
Hollandse Delta,Westvoorne,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Tinte,0614::SB10,3234 KS,546,322,5,4,0,0,0,290,41,0,0,0,0,0,0,331,128,39,13,17,57,4,31,11,9,4,9
