contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeentehuis,1894::SB1,5981 CC,2266,1006,45,10,0,0,0,938,123,0,0,0,0,0,0,1061,43,612,3,177,26,96,49
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Houbereij,1894::SB2,5981 CH,1933,755,30,5,0,0,0,695,95,0,0,0,0,0,0,790,26,448,13,141,31,44,52
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Ringoven,1894::SB3,5981 AL,1991,442,23,5,0,0,0,422,48,0,0,0,0,0,0,470,26,277,0,85,10,31,13
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Café de Zoes,1894::SB4,5988 EM,2508,854,51,8,0,0,0,824,89,0,0,0,0,0,0,913,26,554,2,140,18,73,41
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Dorpscentrum Kerkeböske,1894::SB5,5988 NE,2322,881,39,7,0,0,0,806,121,0,0,0,0,0,0,927,44,601,5,120,21,56,34
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Wieksjlaag,1894::SB6,5986 AH,1685,692,31,6,0,1,1,644,83,0,0,1,0,0,0,728,38,479,5,77,9,50,34
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau de Ankerplaats,1894::SB7,5985 PG,1355,479,8,8,0,0,0,431,64,0,0,0,0,0,0,495,15,344,3,47,6,39,25
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis De Sprunk,1894::SB8,5984 PJ,1019,379,5,2,0,0,0,340,46,0,0,0,0,0,0,386,15,275,1,57,7,15,9
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis 't Erf,1894::SB9,5987 AR,1045,437,14,6,0,0,0,405,53,0,1,0,1,0,0,458,20,282,4,61,10,41,19
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Niëns Horeca,1894::SB10,5993 AW,1555,538,37,3,0,0,0,508,70,0,0,0,0,0,0,578,23,221,2,195,21,54,22
