contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Zorgcentrum Aelsmeer,0358::SB1,1431 BZ,1876,961,24,5,0,0,2,905,83,0,0,0,0,0,0,990,187,343,124,71,60,81,40,4,51
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Solidoe De Dolfijn,0358::SB2,1431 RN,1725,892,15,0,0,1,0,803,103,0,0,1,0,0,0,906,178,375,118,52,42,40,40,4,43
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Meerlanden,0358::SB3,1431 VJ,1566,527,7,3,0,0,0,488,49,0,0,0,0,0,0,537,121,130,79,50,35,38,18,6,50
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wijkcentrum 't Baken,0358::SB4,1431 JA,1582,695,9,0,0,0,0,638,66,0,0,0,0,0,0,704,154,138,107,65,39,56,63,7,66
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wijksteunpunt Seringenhorst,0358::SB5,1431 EM,1549,508,7,4,0,0,0,473,46,0,0,0,0,0,0,519,127,143,69,37,23,37,29,1,42
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau NH Wijkcentrum 't Anker,0358::SB6,1432 AV,1624,670,15,4,0,0,0,610,79,0,0,0,0,0,0,689,170,200,84,36,36,74,36,0,34
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gezondheidscentrum Aalsmeer Oost,0358::SB7,1432 JZ,1619,608,3,2,0,0,0,569,44,0,0,0,0,0,0,613,122,157,80,46,50,33,49,3,68
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Buurthuis Hornmeer,0358::SB8,1431 WH,1429,884,15,8,0,0,0,829,78,0,0,0,0,0,0,907,187,217,164,75,39,76,50,3,73
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau p.c.b.s. De Graankorrel,0358::SB9,1433 AN,141,81,3,1,0,0,0,76,8,0,0,1,0,1,0,84,26,38,8,2,0,1,5,0,1
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Wijksteunpunt Kudelstaart,0358::SB10,1433 JZ,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,2,2,1,0,0,0,0,0
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Clubgebouw VZOD,0358::SB11,1433 HM,65,42,0,0,0,0,0,35,7,0,0,0,0,0,0,42,8,22,8,1,1,0,1,1,0
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gebouw De Mikado,0358::SB12,1432 JT,1731,1020,6,16,0,0,0,913,129,0,0,0,0,0,0,1042,142,372,138,93,83,53,62,5,72
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau o.b.s. De Zuidooster,0358::SB13,1432 JT,1844,746,20,0,0,0,0,679,87,0,0,0,0,0,0,766,123,290,91,50,51,35,59,5,42
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau r.k.b.s. Antonius,0358::SB14,1433 WB,0,25,0,0,5,0,0,27,3,0,0,0,5,0,0,30,5,10,6,1,1,1,1,0,0
Rijnland,Aalsmeer,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gemeentehuis Aalsmeer,0358::SB15,1431 EH,429,325,7,0,0,0,0,307,25,0,0,0,0,0,0,332,68,112,49,23,18,16,21,2,16
