contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,VVD,50PLUS
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Gemeentehuis Gemert,1652::SB1,5421 CV,1773,880,44,4,0,0,0,823,105,0,0,0,0,0,0,928,422,173,81,64,96,44
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Het Kunstlokaal,1652::SB3,5421 PN,1824,842,31,8,0,0,0,796,85,0,0,0,0,0,0,881,298,159,138,74,85,88
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau MFA ""De Samenstroom""",1652::SB5,5421 VA,2051,671,23,2,0,0,0,604,92,0,0,0,0,0,0,696,241,118,90,63,107,52
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool 't Einder,1652::SB7,5422 AN,1822,678,18,6,0,0,0,622,80,0,0,0,0,0,0,702,267,130,76,49,95,61
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Berglarenschool,1652::SB9,5421 HW,1686,589,18,4,0,0,0,560,51,0,0,0,0,0,0,611,179,111,93,67,80,59
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Zorgboogcentrum ""Ruijschenbergh""",1652::SB11,5421 DG,1693,668,32,6,0,0,0,646,60,0,0,0,0,0,0,706,255,130,98,49,70,66
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Activiteitencentrum De Eendracht,1652::SB13,5421 KC,1812,572,16,4,0,0,0,534,58,0,0,0,0,0,0,592,218,119,72,51,67,45
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau MFA De Bron,1652::SB101,5423 SL,1528,672,25,7,0,0,0,636,68,0,0,0,0,0,0,704,311,129,65,35,77,55
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau MFA ""de Sprank"",",1652::SB201,5425 VR,1185,610,4,4,0,0,0,521,98,0,1,0,1,0,0,619,387,80,30,30,60,23
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Brede school ""De Dompelaar""",1652::SB301,5424 TS,896,388,2,2,0,0,0,342,50,0,0,0,0,0,0,392,266,43,15,17,33,14
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Het Parochiehuis,1652::SB401,5761 CB,1589,574,14,12,0,0,0,512,88,0,0,0,0,0,0,600,267,97,41,39,74,56
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Basisschool Willibrordus,1652::SB403,5761 BV,1874,771,12,0,0,0,0,676,107,0,0,0,0,0,0,783,420,105,54,46,91,55
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Diepstratenzaal,1652::SB405,5761 CE,1161,534,9,1,0,1,0,477,68,0,0,0,1,0,0,545,301,68,37,29,54,45
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,"Stembureau Zorgboogcentrum ""De Berken""",1652::SB501,5763 BC,1670,710,17,3,0,0,0,625,103,0,0,2,0,2,0,728,415,94,38,27,78,58
Aa en Maas,Gemert-Bakel,AB2015_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2015,,Aa en Maas,2015-03-18,Stembureau Partycentrum D'n Eik,1652::SB601,5764 PR,949,397,9,0,0,0,0,356,50,0,0,0,0,0,0,406,232,55,12,25,42,31
