contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Gemeentehuis,0502::SB1,2903 AR,1162,682,27,3,0,0,0,621,91,0,0,0,0,0,0,712,102,84,102,77,158,42,11,58,48
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Gemeentehuis,0502::SB2,2903 AR,1425,609,11,3,0,0,0,544,79,0,0,0,0,0,0,623,93,99,73,63,145,34,18,29,55
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Vergaderzaal,0502::SB3,2902 TA,1930,637,13,3,0,0,0,580,73,0,0,0,0,0,0,653,89,127,83,85,77,33,11,56,76
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Zorgcentrum De Rozenburcht,0502::SB4,2902 BW,1856,956,24,7,0,0,0,873,113,0,0,1,0,1,0,986,122,169,112,110,187,55,46,67,88
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Nieuwe Westerkerk,0502::SB5,2902 CT,1494,516,20,2,0,1,0,494,43,0,0,1,0,0,0,537,74,88,60,58,90,39,14,33,60
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau PCB ""De Horizon""",0502::SB6,2903 TJ,1516,544,12,1,0,0,0,484,73,0,0,0,0,0,0,557,82,44,73,66,106,54,19,39,61
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Verzorgingshuis ""De Vijverhof""",0502::SB7,2903 RJ,2247,940,23,9,0,0,0,875,97,0,0,0,0,0,0,972,151,113,104,107,216,68,31,52,98
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Woonzorgcentrum ""d'Amandelhof""",0502::SB8,2903 RL,1669,544,8,4,0,0,0,492,64,0,0,0,0,0,0,556,109,54,46,51,158,27,18,30,51
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Verzorgingshuis""De Roo van Capelle""",0502::SB9,2904 XM,1188,527,20,7,0,0,0,505,49,0,0,0,0,0,0,554,80,98,68,69,55,31,15,33,78
Schieland en de Krimpenerwaard,Capelle aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,"Stembureau Senioren Residentie ""IJsselzicht""",0502::SB10,2904 AE,1678,922,20,7,0,0,0,842,106,0,0,1,0,1,0,948,116,243,131,123,66,66,34,80,63
