contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau het Raadhuis,0228::SB1,6711 DD,1425,848,17,11,0,0,2,795,83,0,0,0,4,0,0,880,85,110,83,88,27,156,179,74,46
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Verzorgingshuis Bethanië,0228::SB2,6711 JK,1472,970,30,3,0,9,0,877,117,0,0,9,0,0,0,994,88,156,113,126,19,135,199,87,47
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Vilente De Nieuwe Klinkenberg,0228::SB3,6711 KJ,1685,491,5,6,0,0,0,462,50,10,0,0,10,0,0,512,45,55,47,26,38,87,95,55,43
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Vilente St.Barbara,0228::SB4,6711 NT,1451,818,27,10,0,2,0,787,64,0,0,4,0,2,0,851,85,87,81,62,49,159,178,72,45
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Doelen,0228::SB5,6711 DE,1587,877,18,8,0,2,1,811,93,0,0,0,2,0,0,905,102,125,78,65,40,141,187,86,53
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Wonewei,0228::SB6,6716 SL,1621,716,11,4,0,0,1,657,73,0,0,0,0,0,0,731,96,135,86,37,38,103,102,68,51
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau CNS-basisschool De Meander,0228::SB7,6718 EB,1299,480,3,1,0,0,0,450,33,1,0,1,0,0,0,483,52,72,41,78,8,63,93,34,39
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Elim,0228::SB8,6718 DG,1347,548,4,4,0,1,0,479,76,0,0,1,0,0,0,555,62,103,33,126,15,50,100,35,24
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau CNS-basisschool De Vuursteen,0228::SB9,6718 MJ,1601,655,8,1,0,0,0,580,84,0,0,0,0,0,0,664,71,126,53,93,20,90,114,55,33
Vallei en Veluwe,Ede,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Restaurant Buitenzorg,0228::SB10,6712 GG,1751,895,16,11,0,1,0,826,97,0,0,0,1,0,0,923,86,147,76,108,43,152,146,68,69
