contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Stadhuismuseum,1676::SB1,4301 EC,1040,468,10,1,0,0,0,421,58,0,0,0,0,0,0,479,16,9,61,99,73,54,72,29,26,29
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1163,590,8,3,0,0,0,572,29,0,0,0,0,0,0,601,12,23,68,68,136,78,47,56,44,58
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,809,413,7,2,0,0,0,376,46,0,0,0,0,0,0,422,9,26,40,52,118,39,49,15,26,39
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,654,399,5,4,0,0,0,374,34,0,0,0,0,0,0,408,8,27,45,98,89,38,49,20,13,12
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,624,346,2,2,0,0,0,315,35,0,0,0,0,0,0,350,14,16,59,48,70,38,38,10,36,17
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1567,838,9,9,0,0,0,733,123,0,0,0,0,0,0,856,20,202,110,153,108,54,44,65,38,44
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1485,774,0,11,0,1,0,652,132,0,0,1,0,0,0,784,9,207,101,103,133,36,34,79,34,38
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,"Stembureau Verenigingsgebouw ""Ons Dorpshuis""",1676::SB8,4306 CA,957,662,4,2,0,0,0,572,96,0,0,0,0,0,0,668,7,304,59,46,97,24,29,53,20,23
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1030,603,2,3,0,0,0,523,82,0,0,3,0,3,0,605,11,156,87,69,86,41,21,73,23,36
Scheldestromen,Schouwen-Duiveland,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,844,520,3,1,0,0,0,453,71,0,0,0,0,0,0,524,6,281,42,32,66,16,13,36,11,17
