contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stadhuis ingang Raadhuisplein,0917::SB1,,2228,1029,68,20,0,0,1,1019,103,0,0,0,6,0,0,1123,580,23,204,31,16,26,92,57
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Douvenrade,0917::SB2,,961,407,26,10,0,0,0,396,46,0,0,1,0,0,0,442,259,14,61,10,8,4,29,22
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Trefcentrum 't Loon,0917::SB4,,2220,727,44,6,0,0,0,696,77,0,0,4,0,0,0,773,458,26,127,18,5,13,24,56
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stichting Open Huis,0917::SB6,,1602,675,38,7,0,0,0,673,48,0,0,0,1,0,0,721,430,17,110,19,7,7,53,32
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Bernardinuscollege,0917::SB7,,1698,670,41,12,0,0,0,642,84,0,0,0,3,0,0,726,352,27,155,18,3,11,85,19
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool St. Tarcisius,0917::SB10,,1651,701,28,5,0,0,0,685,49,0,0,0,0,0,0,734,429,12,152,22,3,9,53,21
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau MEE Zuid-Limburg,0917::SB11,,948,455,35,1,0,0,0,433,64,0,0,0,6,0,0,497,313,11,54,19,2,0,32,24
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum St. Anna,0917::SB12,,1921,817,64,16,0,0,0,821,77,0,0,0,1,0,0,898,495,22,143,41,10,10,58,38
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Plataan,0917::SB14,,400,98,2,0,0,0,0,85,15,0,0,0,0,0,0,100,51,5,17,8,0,0,14,3
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Oranjehof,0917::SB16,,1895,557,20,1,0,0,0,518,60,0,0,0,0,0,0,578,350,20,93,14,10,2,22,46
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Caumerbron,0917::SB17,,2403,1051,52,13,0,0,0,1012,104,0,0,0,0,0,0,1116,728,27,173,23,3,13,29,55
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Vitalis Parc Imstenrade,0917::SB18,,1842,642,31,8,0,0,0,601,80,0,0,0,0,0,0,681,375,18,105,31,11,11,61,30
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Tobias,0917::SB19,,1778,759,40,21,0,0,0,749,71,0,0,0,0,0,0,820,456,17,133,35,8,15,60,35
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Wijkgebouw stg. buurtbeheer Molenberg,0917::SB22,,2285,694,44,9,0,0,0,665,82,0,0,0,0,0,0,747,457,19,91,16,14,12,34,51
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verpleeghuis Bergweide,0917::SB23,,965,328,14,4,0,0,0,308,38,0,0,0,0,0,0,346,199,22,61,7,6,9,11,13
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Schaesbergerveld,0917::SB25,,1893,490,17,4,0,0,0,449,62,0,0,0,0,0,0,511,315,21,75,14,6,4,27,28
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 't Leiehoes,0917::SB26,,1256,414,29,3,0,0,0,396,50,0,0,0,0,0,0,446,240,23,64,9,7,17,13,41
Roer en Overmaas,Heerlen,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Scouting St. Jan Baptist,0917::SB27,,1231,305,10,6,0,0,0,290,31,0,0,0,0,0,0,321,202,9,37,10,6,6,7,28
