contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentehuis,0226::SB1,6921 ES,1940,1219,34,4,0,1,0,1102,154,0,0,1,0,0,0,1256,364,237,148,204,18,77,70,12,89
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Thuvine,0226::SB2,6921 AR,1928,642,10,6,0,1,2,607,50,0,0,0,1,0,0,659,198,115,67,100,16,49,42,4,51
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kantoorgebouw La Gare nabij NS Station Duiven,0226::SB3,6922 HH,1325,553,11,3,0,2,0,519,50,0,0,0,2,0,0,569,112,118,88,81,14,25,57,6,52
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Jongerensoos Rinoceros,0226::SB4,6923 BD,1569,760,14,4,0,0,0,701,77,0,0,0,0,0,0,778,260,82,45,109,5,199,29,3,28
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kantine Sportvereniging Loo,0226::SB5,6924 AE,819,387,5,1,0,0,3,351,39,0,0,0,0,0,0,393,118,65,45,53,4,75,13,0,14
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Cultureel Centrum Onderling Genoegen,0226::SB6,6921 ES,1865,668,23,4,0,0,0,623,72,0,0,0,0,0,0,695,142,164,89,102,17,45,45,5,59
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kantine Tennis Centre Duiven,0226::SB7,6921 JL,1906,623,7,2,0,0,0,562,70,0,0,0,0,0,0,632,116,130,86,138,19,33,41,7,53
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Seniorensoos Het Palet,0226::SB8,6921 MJ,1687,749,18,8,0,3,0,735,43,0,0,0,3,0,0,778,157,189,110,78,16,50,50,6,93
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau RK Basisschool De Kameleon,0226::SB9,6921 MJ,1514,479,13,4,0,0,0,449,47,0,0,0,0,0,0,496,97,87,83,79,8,33,32,7,53
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau RK Basisschool De Timp,0226::SB10,6922 DB,1687,672,13,10,0,1,0,627,69,0,0,0,1,0,0,696,140,142,89,134,17,28,55,7,60
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Cultureel Centrum 't Eiland,0226::SB11,6922 ER,1802,834,22,8,0,2,0,794,72,0,0,0,2,0,0,866,176,176,109,136,14,56,83,9,75
Rijn en IJssel,Duiven,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool De Toermalijn,0226::SB12,6922 NP,1924,744,15,6,0,3,0,679,83,0,0,3,0,0,0,762,169,172,97,121,11,38,55,4,77
