contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Bowling en Partycentrum Krimpenhof,0542::SB1,2922 HM,1000,493,5,2,0,0,0,411,89,0,0,0,0,0,0,500,42,41,54,45,218,34,21,22,16
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Muziekschool Krimpen aan den IJssel,0542::SB2,2921 XH,1392,658,7,3,0,0,0,563,105,0,0,0,0,0,0,668,46,66,60,58,259,64,26,48,31
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Zwembad /Sauna De Lansingh,0542::SB3,2923 AM,1546,663,8,2,0,0,0,579,94,0,0,0,0,0,0,673,59,107,55,60,255,49,18,25,35
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Dorpsplein Het Facet,0542::SB4,2922 EN,1132,633,11,8,0,0,0,566,86,0,0,0,0,0,0,652,41,72,57,81,224,72,21,34,31
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Krimpenerwaard College,0542::SB5,2924 AN,1134,753,7,2,0,0,0,664,98,0,0,0,0,0,0,762,70,130,79,104,221,52,27,37,33
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Sociëteit Gouden Regen,0542::SB6,2923 EK,1229,653,3,8,0,0,0,572,92,0,0,0,0,0,0,664,68,92,65,68,190,65,22,42,41
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Wijkcentrum De Sperwer,0542::SB7,2926 TA,1381,926,17,2,0,0,0,833,112,0,0,0,0,0,0,945,98,239,85,120,176,81,39,46,42
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Basisschool Het Mozaïek,0542::SB8,2925 BX,1109,767,11,0,1,0,0,692,85,0,0,1,0,0,0,777,75,121,75,83,230,51,30,68,34
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Basisschool De Fontein,0542::SB9,2924 XP,1344,701,8,9,0,0,0,634,84,0,0,0,0,0,0,718,88,140,89,93,129,61,34,38,29
Schieland en de Krimpenerwaard,Krimpen aan den IJssel,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Zorgcentrum Crimpenersteyn,0542::SB10,2924 BC,1266,636,11,9,0,0,0,596,60,0,0,0,0,0,0,656,79,86,83,71,97,73,46,53,48
