contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Stegemanhof,0197::SB1,7122 CG,1108,700,16,2,0,0,0,662,56,0,0,0,0,0,0,718,266,139,61,69,31,50,41,9,34
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Triangel (hoog),0197::SB2,7122 ZX,1333,487,12,1,0,0,0,457,43,0,0,0,0,0,0,500,240,82,36,46,15,29,18,2,19
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau R.K. Kerk,0197::SB3,7121 ES,1153,541,11,6,0,0,0,516,43,0,0,0,1,0,1,559,198,98,52,74,23,29,34,7,26
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Triangel (laag),0197::SB4,7122 BC,1162,577,14,3,0,0,0,547,47,0,0,0,0,0,0,594,227,118,53,36,22,34,38,12,37
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Schaersvoorde,0197::SB5,7122 VM,1509,445,12,1,0,0,0,422,36,0,0,0,0,0,0,458,154,80,41,50,27,30,34,6,23
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau 't Spölhuuksken,0197::SB6,7121 VK,1382,571,19,2,0,0,0,548,44,0,0,0,0,0,0,592,190,133,58,41,30,50,36,5,28
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Beth San,0197::SB7,7121 EG,1318,663,11,2,0,0,0,621,55,0,0,0,0,0,0,676,258,114,74,63,26,44,49,4,31
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sporthal Aladna,0197::SB8,7121 NW,1223,592,11,0,0,0,0,552,51,0,0,0,0,0,0,603,201,140,62,56,25,37,34,5,32
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Ver.gebouw 't Dorpshuus,0197::SB9,7122 KH,730,365,2,1,0,0,0,330,38,0,0,0,0,0,0,368,222,55,14,38,6,14,6,3,7
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kulturhus Lintelo,0197::SB10,7122 LX,882,465,7,2,0,0,0,436,38,0,0,0,0,0,0,474,252,80,18,46,12,27,13,0,17
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gebouw De Markerink,0197::SB11,7122 RK,849,420,7,0,0,1,0,385,43,0,0,0,1,0,0,428,259,42,28,38,19,25,8,0,1
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gebouw De Ringkamp,0197::SB12,7121 KL,875,289,5,1,0,0,2,252,41,0,0,0,0,0,0,295,174,38,17,28,7,17,3,1,4
Rijn en IJssel,Aalten,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Ambthuis,0197::SB13,7126 BC,1119,647,9,3,0,0,0,603,56,0,0,0,0,0,0,659,225,120,34,46,33,139,12,2,36
