contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis,0531::SB1,3342 AE,1173,616,9,4,0,0,0,552,77,0,0,0,0,0,0,629,126,45,48,35,91,155,21,55,19,10,11
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Emmastaete,0531::SB2,3341 XD,1154,607,6,2,0,0,0,547,71,0,3,0,3,0,0,618,91,55,38,33,91,223,7,36,16,7,10
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau OBS De Bron Admiraal,0531::SB3,3342 TA,1414,693,14,1,1,0,0,626,83,0,0,0,1,0,0,709,174,50,29,30,90,208,14,57,17,11,13
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Jeugdcentrum,0531::SB4,3341 TS,1171,556,8,2,0,0,0,497,69,0,0,0,0,0,0,566,95,85,40,31,70,145,7,46,12,11,14
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Willem de Zwijgerschool,0531::SB5,3341 CE,1235,701,5,0,0,0,0,652,54,0,0,0,0,0,0,706,92,52,31,28,61,322,13,64,18,3,17
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wielstaete,0531::SB6,3341 ST,1101,582,8,2,0,0,0,519,73,0,0,0,0,0,0,592,122,46,39,31,65,173,15,42,25,11,13
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Open Hof kerk,0531::SB7,3342 BS,1425,738,8,4,0,1,0,665,86,0,0,0,1,0,0,751,132,89,41,35,123,205,18,58,13,7,17
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau OBS De Bron Bekestein,0531::SB8,3343 CB,1365,694,19,3,0,0,0,644,72,0,0,0,0,0,0,716,202,50,67,32,126,71,17,44,39,17,29
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau CBS De Meander,0531::SB9,3343 CB,1126,410,14,4,0,0,0,383,45,0,0,0,0,0,0,428,116,40,43,23,78,42,12,18,15,13,10
Hollandse Delta,Hendrik-Ido-Ambacht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Sporthal De Ridderhal,0531::SB10,3341 BE,1346,556,15,3,0,0,0,500,74,0,0,0,0,0,0,574,156,72,40,37,82,72,18,47,12,14,6
