contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dienstencentrum Duivenwal,0345::SB1,3901 ZA,1753,656,9,2,0,0,0,590,77,0,0,0,0,0,0,667,63,108,45,89,47,87,96,70,51
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Voedselbank Veenendaal,0345::SB2,3901 PZ,1803,492,5,1,0,0,1,432,65,0,0,0,0,0,0,498,70,109,29,98,14,40,47,34,51
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Hollandia Staete,0345::SB3,3901 GG,1775,648,7,4,0,0,0,603,56,0,0,0,0,0,0,659,71,114,36,123,59,94,54,48,49
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Woon-en Zorgcentrum De Engelenburgh,0345::SB4,3901 ED,1146,677,4,5,0,0,0,605,81,0,0,0,0,0,0,686,60,126,31,194,35,93,66,38,34
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Zaal van Apostolisch Genootschap,0345::SB5,3904 JZ,1555,898,13,5,0,2,0,817,101,0,0,0,2,0,0,918,64,185,68,90,37,142,182,55,75
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,3904 KK,1557,891,16,3,0,0,0,800,110,0,0,0,0,0,0,910,65,139,70,159,82,136,134,53,53
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gebouw Shalom (achter Vredeskerk),0345::SB7,3904 JB,1430,717,7,4,0,0,0,632,96,0,0,0,0,0,0,728,60,125,32,137,32,109,134,49,39
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gebouw Groenhof,0345::SB8,3904 TG,1661,781,15,1,0,0,0,719,78,0,0,0,0,0,0,797,80,146,67,98,39,109,128,64,50
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Patrimoniumschool,0345::SB9,3904 AA,1543,660,19,5,0,0,0,599,85,0,0,0,0,0,0,684,55,139,50,102,52,91,64,52,55
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Juliana v Stolbergschool (Dillenb),0345::SB10,3904 TE,1372,432,11,3,0,3,0,391,52,0,0,3,0,0,0,443,82,73,41,36,36,51,34,37,42
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau School Het Baken I,0345::SB11,3904 RS,1573,957,15,5,0,0,0,854,123,0,0,0,0,0,0,977,88,239,83,73,64,132,137,85,56
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Overstag,0345::SB12,3904 RG,1705,531,7,1,0,0,0,495,44,0,0,0,0,0,0,539,52,134,36,45,24,55,78,69,38
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau School Het Baken II,0345::SB13,3904 NT,1791,1217,9,7,0,0,0,1094,141,0,2,0,2,0,0,1235,85,267,105,107,71,211,152,137,82
Vallei en Veluwe,Veenendaal,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau School De Vuurvlinder (west),0345::SB14,3905 RS,1559,682,13,1,0,0,0,614,82,0,0,0,0,0,0,696,68,138,75,59,59,83,87,55,58
