contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Zeeuws-Vlaanderen,Staatkundig Gereformeerde Partij (SGP),CDA,VVD,Partij voor Zeeland,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,ChristenUnie,Algemene Waterschapspartij Zeeland,50PLUS
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Ons Dorpshuis Kruiningen,0703::SB1,4416BJ,728,441,7,9,0,0,2,404,51,0,0,0,0,0,0,457,10,157,46,42,68,37,24,23,20,14
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Verenigingsgebouw Geref. Gemeente Kruiningen,0703::SB2,4416BJ,1108,836,3,0,0,1,2,701,137,0,0,0,1,0,0,840,20,477,50,83,56,43,23,54,13,17
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Kaj Munk Hansweert,0703::SB3,4417AA,1327,649,8,6,0,2,3,585,77,0,0,0,2,0,0,665,19,8,61,60,238,110,48,30,35,40
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpscentrum MeerWaarde Waarde,0703::SB4,4414AK,957,666,2,2,0,0,0,564,106,0,0,0,0,0,0,670,7,368,76,38,64,13,13,61,15,11
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Kerkelijk centrum De Haven Yerseke,0703::SB5,4401EC,1310,807,2,4,0,0,0,710,103,0,0,0,0,0,0,813,11,295,58,54,97,48,22,191,19,12
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Apeldoorn Oostdijk,0703::SB6,4415AE,377,304,0,0,0,1,2,250,53,0,0,0,1,0,0,305,0,239,13,6,7,6,3,26,1,3
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Verenigingsgebouw Geref. Gemeente Yerseke,0703::SB7,4401CB,1264,837,1,1,0,0,0,693,146,0,0,0,0,0,0,839,9,470,38,65,58,23,9,149,7,9
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis de Meiboom Krabbendijke,0703::SB8,4413GB,1076,719,4,3,0,0,0,635,91,0,0,0,0,0,0,726,13,361,62,36,111,21,26,71,16,2
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Zorgcentrum Ter Weel Krabbendijke,0703::SB9,4413CP,1066,862,4,1,0,0,0,740,127,0,0,0,0,0,0,867,6,427,107,26,88,41,20,105,24,18
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Dorpshuis Luctor et Emergo Rilland,0703::SB10,4411AP,1396,649,2,2,0,0,0,582,71,0,0,0,0,0,0,653,35,87,69,74,115,73,68,47,42,39
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Seniorencomplex Oostkilhoek Rilland,0703::SB11,4411AC,973,460,5,2,0,0,3,416,48,0,0,0,0,0,0,467,17,62,70,55,75,45,42,31,29,34
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Brandweerkazerne Yerseke,0703::SB12,4401KW,1255,566,3,4,0,0,0,470,103,0,0,0,0,0,0,573,5,164,37,59,101,20,9,134,14,23
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Zorgcentrum Moerzicht Yerseke,0703::SB13,4401HZ,1258,781,7,2,0,6,0,681,115,0,0,0,6,0,0,796,12,235,101,68,90,27,13,193,21,21
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Gebouw Bridgeclub Reimerswaal Kruiningen,0703::SB14,4416BT,1303,625,5,7,0,0,0,555,82,0,0,0,0,0,0,637,12,200,62,70,96,54,55,42,17,17
Scheldestromen,Reimerswaal,AB2015_Scheldestromen,Algemeen bestuur van het waterschap Scheldestromen 2015,,Scheldestromen,2015-03-18,Stembureau Verenigingsgebouw Geref. Kerk Krabbendijke,0703::SB15,4413BK,1036,541,2,0,0,2,0,473,68,0,0,2,0,0,0,541,5,284,74,19,50,20,19,51,11,8
