contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Stadskantoor,0457::SB1,1381 BD,1377,953,25,16,0,0,1,911,83,0,0,0,1,0,0,995,233,105,138,163,23,89,20,15,63,30,31,35,8
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gebouw Papelaan 99,0457::SB2,1382 RK,1544,617,16,13,0,0,0,577,69,0,0,0,0,0,0,646,101,98,71,90,20,77,22,14,23,11,46,36,8
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Hogeweyk,0457::SB3,1382 GV,1775,487,14,4,0,0,0,462,43,0,0,0,0,0,0,505,114,77,55,67,13,38,25,11,22,21,28,14,2
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Vechtstede college,0457::SB4,1381 CD,1903,803,23,3,0,0,0,748,81,0,0,0,0,0,0,829,139,116,137,155,13,44,11,7,47,25,71,31,7
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Brede school Kors Breijer,0457::SB5,1382 RP,1590,489,6,3,0,0,0,457,42,0,0,0,1,0,0,499,93,63,68,94,15,32,21,6,16,24,22,28,7
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Verzorgingshuis Oversingel,0457::SB6,1381 DE,1159,632,4,8,0,0,0,596,48,0,0,0,0,0,0,644,134,89,78,136,15,49,8,10,24,22,40,21,6
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Sporth. Aetsveld,0457::SB7,1383 ED,1477,646,13,6,0,0,0,612,53,0,0,0,0,0,0,665,146,73,98,124,13,44,20,14,41,20,31,18,4
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Sporthal Aetsveld,0457::SB8,1383 ED,1473,702,15,4,0,0,0,661,60,0,0,0,0,0,0,721,142,96,126,124,21,36,13,12,48,23,38,18,5
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Brandweerkazerne,0457::SB9,1381 CZ,1301,693,12,2,0,0,0,638,70,0,0,0,1,0,0,708,122,83,111,134,6,53,19,11,58,37,23,32,4
"Amstel, Gooi en Vecht",Weesp,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Svalaauto Weesp,0457::SB10,1382 LE,1115,531,12,3,0,0,0,488,58,0,0,0,0,0,0,546,101,72,112,74,13,42,15,7,17,17,20,39,2
