contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Stadswinkel Venlo,0983::SB1,5911 HT,1902,636,33,3,0,0,0,635,37,0,0,0,0,0,0,672,14,16,12,111,357,99,27
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Huize Beerendonck,0983::SB2,5911 AD,1852,701,48,8,0,0,0,674,83,0,0,0,0,0,0,757,17,19,8,128,400,102,27
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeentearchief Venlo,0983::SB3,5914 PV,1778,642,37,2,0,0,0,611,70,0,0,0,0,0,0,681,20,7,10,116,379,85,25
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Lokaal Veestraat,0983::SB4,5914 RR,1563,474,27,2,0,0,0,450,53,0,0,0,0,0,0,503,16,10,12,74,299,32,31
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Basissschool de Meule,0983::SB5,5914 XS,1655,612,37,7,0,0,0,591,65,0,0,0,0,0,0,656,13,3,7,97,389,77,26
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Stichting de Witte Kerk,0983::SB6,5914 PE,1357,371,28,5,0,0,0,350,54,0,0,0,0,0,0,404,8,10,6,71,207,37,32
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gilde Opleidingen,0983::SB7,5913 ES,1461,689,32,10,0,0,0,645,86,0,0,0,0,0,0,731,5,11,8,97,372,167,29
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Bantuin,0983::SB8,5916 SW,1940,758,64,2,0,0,0,726,98,0,0,0,0,0,0,824,8,10,15,113,426,143,43
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau wijkgebouw d'n Dörpel,0983::SB9,5913 CZ,1976,946,46,10,0,0,0,913,89,0,0,0,0,0,0,1002,20,21,14,108,504,242,37
Peel en Maasvallei,Venlo,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Talentencampus Venlo,0983::SB10,5913 GB,1668,703,35,10,0,0,0,680,68,0,0,0,0,0,0,748,14,1,12,106,404,144,22
