contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Gemeentehuis Lopik,0331::SB1,3411 CH,1073,501,4,1,0,0,0,460,46,0,0,0,0,0,0,506,45,156,27,41,35,18,83,67,29
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau KMN Kind & Co, tover",0331::SB2,3411 ZG,1458,481,13,4,0,0,0,443,55,0,0,0,0,0,0,498,57,131,34,42,54,5,51,76,31
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Dorpshuis De Schouw,0331::SB3,3411 DB,1950,1046,21,8,0,0,0,965,109,0,0,1,0,0,0,1074,138,355,54,122,92,19,115,86,65
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Buurthuis Uitweg,0331::SB4,3412 KR,1037,551,4,2,0,0,0,464,93,0,0,0,0,0,0,557,50,132,34,56,40,9,73,128,29
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Ver. gebouw Jaarsveld,0331::SB5,3413 MP,701,335,5,4,0,0,0,298,46,0,0,0,0,0,0,344,59,74,8,39,25,7,27,66,30
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau In 't Witte Paard,0331::SB6,3411 EC,778,401,3,2,0,0,0,350,56,0,0,0,0,0,0,406,29,207,16,46,20,4,25,38,16
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Buurthuis 't Wilgegat,0331::SB7,3411 NC,244,140,3,0,0,0,0,132,11,0,0,0,0,0,0,143,12,61,7,8,6,1,11,19,15
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Dorpshuis  XXL Benschop,0331::SB8,3405 XJ,2057,1199,18,12,0,0,0,1092,137,0,0,0,0,0,0,1229,143,268,45,144,90,13,139,293,64
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Buurthuis de Triangel,0331::SB9,3405 CE,647,374,4,1,0,0,0,321,58,0,0,0,0,0,0,379,20,107,9,24,25,4,70,103,12
De Stichtse Rijnlanden,Lopik,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Dorpshuis Polsbroek,0331::SB10,3415 PE,817,536,4,0,0,0,0,489,51,0,0,0,0,0,0,540,36,84,17,37,23,5,156,163,15
