contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,ChristenUnie,Sallandse Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),VVD,Algemene Waterschapspartij
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Stadhuis,0193::SB1,8011 PK,1620,891,52,1,0,0,0,885,59,0,0,0,0,0,0,944,361,104,93,33,10,200,90
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau DOC 93,0193::SB2,8019 AL,1777,872,27,6,0,1,0,823,83,0,0,0,1,0,0,906,326,117,120,27,10,198,74
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Woonzorgcentrum De Nieuwe Haven,0193::SB3,8011 AS,1617,381,19,4,0,0,0,381,23,0,0,0,0,0,0,404,142,59,59,15,7,50,49
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau GGD IJsselland,0193::SB4,8011 CV,1693,698,22,9,0,0,0,669,60,0,0,0,0,0,0,729,303,62,98,19,8,120,88
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Wijkcentrum De Enk,0193::SB5,8012 VA,1576,910,50,4,0,4,0,890,70,0,0,4,0,0,0,960,439,72,146,53,8,86,106
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Het Mozaïek locatie De Mozadance,0193::SB6,8012 DJ,1414,515,29,1,0,0,0,499,46,0,0,0,0,0,0,545,229,55,71,30,9,65,56
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Woonzorgcentrum De Molenhof,0193::SB7,8012 EJ,1327,589,21,2,0,0,0,572,40,0,0,0,0,0,0,612,260,78,98,24,9,49,71
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau School Het Veldboeket,0193::SB8,8013 TV,1759,688,20,1,0,0,0,643,66,0,0,0,0,0,0,709,340,61,103,37,11,35,101
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau School De Vlieger,0193::SB9,8043 RL,1133,396,8,2,0,0,0,356,50,0,0,0,0,0,0,406,120,41,80,10,4,101,40
Groot Salland,Zwolle,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau School Aquamarijn,0193::SB10,8021 AG,1546,681,31,5,0,0,2,671,44,0,0,0,0,0,0,717,247,76,138,26,14,99,81
