contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Gemeentehuis,0303::SB1,8251 ER,2045,1398,22,7,0,1,0,1320,108,0,0,0,1,0,0,1428,343,286,234,65,190,142,42,96
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kantine Sportvereniging Reaal,0303::SB2,8253 BA,1782,923,7,0,0,0,0,829,101,0,0,0,0,0,0,930,271,179,142,54,136,91,17,33
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Basisschool De Dukdalf,0303::SB3,8253 EA,2133,1387,18,8,0,0,0,1240,173,0,0,0,0,0,0,1413,410,244,175,72,212,178,39,57
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Mr. Antoine M.G. Gresel Kazerne,0303::SB4,8251 KP,2327,921,13,6,0,0,0,839,101,0,0,0,0,0,0,940,252,197,108,35,105,128,30,66
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Woonzorgcentrum De Regenboog,0303::SB5,8254 AB,1750,833,18,7,0,0,0,773,86,0,1,0,1,0,0,859,257,149,142,36,77,92,10,70
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Ontmoetingskerk,0303::SB6,8251 LD,1880,801,12,8,0,0,0,748,74,0,1,0,1,0,0,822,219,190,126,30,54,125,17,40
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Samenwerkingsschool De Brandaris,0303::SB7,8251 VX,1758,733,13,1,0,0,0,673,74,0,0,0,0,0,0,747,271,108,89,41,75,91,11,47
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Samenwerkingsschool Het Wilgerijs,0303::SB8,8251 TJ,1616,1013,13,5,0,0,0,938,93,0,0,0,0,0,0,1031,321,202,133,56,106,118,17,60
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Clubhuis Golfresidentie,0303::SB9,8251 NS,1033,630,14,6,0,0,0,567,82,0,0,1,0,1,0,649,144,106,83,30,214,19,13,21
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Basisschool Flevosprong,0303::SB10,8252 GW,1610,912,11,10,0,0,0,859,77,0,2,0,3,0,1,936,265,198,102,53,125,117,10,42
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Basisschool Het Kompas,0303::SB11,8252 GJ,1658,848,8,5,0,1,0,798,64,0,0,0,1,0,0,862,239,179,138,36,116,96,11,33
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Dorpshuis De Steiger,0303::SB12,8255 DM,1452,693,12,10,0,1,0,655,61,0,0,0,1,0,0,716,177,163,133,40,74,31,14,61
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum De Hoeksteen,0303::SB13,8255 AA,1427,747,11,3,0,0,1,693,67,0,0,0,0,0,0,761,183,114,213,47,89,32,5,64
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Basisschool De Duykeldam,0303::SB14,8255 AR,2014,825,14,4,0,0,0,738,105,0,0,0,0,0,0,843,257,161,146,49,78,51,14,69
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Het Koetshuis,0303::SB15,8256 BD,1393,819,12,7,0,0,0,735,103,0,0,0,0,0,0,838,209,207,154,43,92,45,15,54
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Bas Tennis,0303::SB16,8256 ZG,1470,437,5,4,0,1,0,415,32,0,0,0,1,0,0,447,138,56,81,35,63,23,6,35
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum De Voorhof,0303::SB17,8256 BK,1885,925,3,5,0,0,0,824,109,0,0,0,0,0,0,933,212,203,185,47,140,68,15,55
Zuiderzeeland,Dronten,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Basisschool De Klimboom,0303::SB18,8253 EA,1899,434,6,0,0,0,0,392,48,0,0,0,0,0,0,440,109,87,63,28,81,45,5,16
