contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Cultureel Centrum Zuidhorn,0056::SB1,9801 CG,1078,828,25,4,0,0,0,784,73,0,0,0,0,0,0,857,175,104,127,36,188,71,27,38,8,54
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gemeentehuis,0056::SB2,9801 AJ,986,708,10,6,0,0,0,666,58,0,0,0,0,0,0,724,151,94,81,40,149,66,20,55,5,47
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Dörpsstee,0056::SB3,9804 RL,1131,645,11,1,0,0,0,595,63,0,1,0,1,0,0,658,131,56,76,46,192,53,20,32,5,34
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Zonnehuis locatie Oostergast,0056::SB4,9801 VG,1182,528,14,4,0,0,0,481,65,0,0,0,0,0,0,546,83,69,77,28,135,74,11,26,4,21
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau O.B.S. De Borgh,0056::SB5,9801 HG,1301,631,20,2,0,0,0,595,58,0,0,0,0,0,0,653,140,86,85,36,154,36,20,27,7,40
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau De Wierde,0056::SB6,9843 EJ,1015,554,16,5,0,0,0,540,36,0,0,0,1,0,1,576,105,52,158,45,72,41,24,21,5,31
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Lauwerscollege,0056::SB7,9843 BG,963,469,3,1,0,0,0,443,30,0,0,0,0,0,0,473,75,56,115,41,60,69,16,11,4,22
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau 't Bartoleshûs,0056::SB8,9845 AK,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis De Wending,0056::SB9,9844 PE,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Soltketen,0056::SB10,9881 PA,438,259,5,0,0,0,0,243,21,0,0,0,0,0,0,264,46,9,74,22,29,17,20,14,5,23
