contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Gemeentehuis,1911::SB1,1761 VM,3159,1315,15,9,0,0,0,1212,125,0,0,2,0,2,0,1337,135,165,135,369,207,75,66,10,18,69,44,22
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Café De Brug,1911::SB3,1761 JR,781,376,1,3,0,0,0,339,42,0,1,0,1,0,0,381,42,31,22,165,40,26,7,5,13,15,10,0
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Café Wapen van Holland,1911::SB4,1761 EB,1513,761,13,2,0,0,0,701,75,0,0,0,0,0,0,776,69,130,77,278,100,25,23,5,5,30,12,7
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Zwembad Den Krieck,1911::SB5,1764 HD,2434,1174,5,3,0,0,0,1072,110,0,0,0,0,0,0,1182,67,234,60,413,175,76,53,7,13,35,30,11
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Wijksteunpunt Keijzershoff,1911::SB6,1761 BR,1226,726,11,4,0,0,0,678,63,0,0,0,0,0,0,741,91,90,83,135,108,38,46,5,9,77,26,18
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Zorgcentrum Molenweid,1911::SB8,1766 JT,1785,768,13,3,0,0,0,711,73,0,0,0,0,0,0,784,80,92,93,204,92,67,24,12,16,57,26,5
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Amerikaanse schoolbus,1911::SB10,1761 VM,0,213,3,1,0,0,1,190,26,0,0,0,0,0,0,217,28,30,33,37,28,31,7,2,1,10,0,6
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Zorgcentrum Noorderlicht,1911::SB11,1777 BA,2668,1156,22,7,0,1,0,1084,102,0,0,0,1,0,0,1186,110,113,168,155,193,164,117,23,12,62,22,17
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Ankerkerk,1911::SB12,1777 EC,1359,550,12,4,0,0,0,519,47,0,0,0,0,0,0,566,51,34,79,78,95,74,77,10,6,25,11,10
Hollands Noorderkwartier,Hollands Kroon,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Basisschool  De Dentele,1911::SB13,1778 KZ,735,381,6,0,0,0,0,347,40,0,0,0,0,0,0,387,32,20,34,65,89,57,48,4,7,12,11,2
