contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Algemene Waterschapspartij Delfland,Partij voor de Dieren,50PLUS,ChristenUnie-SGP
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Gemeentekantoor Pijnacker,1926::SB1,,1540,953,11,12,0,0,1,875,100,0,0,0,0,0,0,976,155,93,167,236,138,81,32,51
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Sporthal 't Baken,1926::SB2,,1483,870,11,6,2,0,0,809,76,0,0,2,0,0,0,885,137,85,142,214,148,55,41,48
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Sociaal Cultureel centrum,1926::SB3,,1749,850,11,10,0,0,0,792,79,0,0,0,0,0,0,871,157,66,123,196,141,73,39,55
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Gebouw 't Prinsesje,1926::SB4,,1759,960,20,10,0,0,0,908,82,0,0,0,0,0,0,990,272,53,117,219,110,51,61,77
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Basisschool De Schatkaart,1926::SB5,,1842,959,25,10,0,0,0,934,60,0,0,0,0,0,0,994,174,76,165,162,168,95,59,60
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Ontmoetingskerk,1926::SB6,,1547,902,20,3,0,0,0,836,89,0,0,0,0,0,0,925,128,46,160,249,164,44,22,89
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Mariaschool,1926::SB7,,1587,671,13,9,0,0,0,621,72,0,0,0,0,0,0,693,94,69,100,179,117,52,13,47
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wijkcentrum Tolhek,1926::SB8,,1247,570,13,4,0,0,0,525,62,0,0,0,0,0,0,587,85,53,88,132,106,50,28,28
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Infocentrum Keijzershof,1926::SB9,,1467,558,9,5,0,0,0,513,59,0,0,0,0,0,0,572,68,64,69,173,99,36,27,22
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB10,,435,264,2,1,0,0,0,241,26,0,0,0,0,0,0,267,62,5,23,74,40,20,10,30
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Meersma Holding BV,1926::SB11,,754,302,6,2,0,0,1,265,44,0,0,0,0,0,0,310,77,10,19,105,40,7,13,31
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Gebouw de Keet,1926::SB12,,1142,497,12,5,0,0,0,467,47,0,0,0,0,0,0,514,74,54,64,118,68,34,29,56
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Sportzaal Emerald,1926::SB13,,1789,950,23,2,0,0,0,860,115,0,0,0,0,0,0,975,104,126,160,225,212,55,30,38
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wooncentrum Emerald,1926::SB14,,1932,949,22,8,0,0,0,863,116,0,0,0,0,0,0,979,94,128,126,220,198,79,44,60
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Kerkgebouw,1926::SB15,,1694,844,13,6,0,2,0,788,73,0,0,2,0,0,0,861,132,73,121,191,143,68,33,83
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Hotel van der Valk,1926::SB16,,1690,627,23,1,0,2,0,564,89,0,0,0,2,0,0,653,92,52,69,233,82,58,24,17
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Basisschool De Winde,1926::SB17,,1483,676,6,3,0,0,1,611,73,0,0,0,0,0,0,685,103,48,114,147,139,73,38,14
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Parochiehuis,1926::SB18,,1724,803,17,9,0,0,0,699,129,0,0,1,0,0,0,828,118,56,88,262,159,61,40,19
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau CulturA,1926::SB19,,1962,894,11,10,0,0,0,808,107,0,0,0,0,0,0,915,160,64,130,231,160,87,33,29
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Verzorgingshuis Veenhage,1926::SB20,,1629,741,9,6,0,0,1,677,78,0,0,0,0,0,0,756,144,51,85,177,143,56,58,27
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Nové Kerkelijk Centrum,1926::SB21,,1793,679,16,4,0,0,0,630,69,0,0,0,0,0,0,699,109,68,112,133,128,51,44,34
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Basisschool de Regenboog,1926::SB22,,1793,1070,19,6,0,0,0,950,145,0,0,0,0,0,0,1095,175,80,145,345,186,76,35,28
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Basisschool Sint Jozef,1926::SB23,,1739,506,7,5,0,0,0,445,73,0,0,0,0,0,0,518,59,73,64,143,88,40,21,18
Delfland,Pijnacker-Nootdorp,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Welzijnscentrum Keijzershof,1926::SB24,,1970,830,12,1,0,0,0,771,72,0,0,0,0,0,0,843,126,95,109,153,155,79,69,44
