contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Stadhuis,0119::SB1,,1513,813,17,10,0,1,0,783,58,0,0,0,1,0,0,841,101,137,143,145,57,153,77
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Cultureel Centrum De Plataan,0119::SB2,,1145,510,13,2,0,1,2,487,35,0,0,1,0,0,0,524,55,97,79,100,42,101,36
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Oosterboerschool,0119::SB3,,1289,652,14,3,0,0,0,642,27,0,0,0,0,0,0,669,90,91,126,109,76,112,48
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau School de Toermalijn,0119::SB4,,1445,555,12,4,0,0,0,520,51,0,0,0,0,0,0,571,61,101,83,133,26,127,24
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Wooncentrum Meeuwenborgh,0119::SB5,,592,253,11,1,0,0,0,250,15,0,0,0,0,0,0,265,32,29,59,20,21,61,31
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Woon-zorgcentrum Irene,0119::SB6,,1315,609,8,5,0,0,0,577,45,0,0,0,0,0,0,622,96,102,66,144,43,114,44
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Brandweerkazerne,0119::SB7,,1119,447,12,1,1,0,0,407,54,0,0,0,1,0,0,461,58,74,73,57,32,92,61
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Anne Frankschool,0119::SB8,,1413,758,10,5,0,0,0,720,53,0,0,0,0,0,0,773,125,134,98,95,87,152,67
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Beatrixschool,0119::SB9,,1345,420,8,4,0,0,0,401,31,0,0,0,0,0,0,432,49,80,101,37,29,86,38
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau School De Woldstroom,0119::SB10,,1320,526,3,6,0,0,0,505,30,0,0,0,0,0,0,535,53,95,96,44,53,122,63
