contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Algemene Waterschapspartij Delfland,Partij voor de Dieren,50PLUS,ChristenUnie-SGP
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Stadskantoor,0622::SB1,3131 VX,1426,617,11,9,0,0,1,580,56,0,0,0,0,0,0,637,59,113,99,110,83,68,53,32
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Heilige Lucaskerk,0622::SB2,3131 BN,1349,468,9,6,0,0,0,444,39,0,0,0,0,0,0,483,64,56,67,92,73,45,35,36
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Kerkgebouw De Fontein,0622::SB3,3131 GD,1585,485,10,3,0,0,0,448,49,0,0,1,0,0,0,497,53,61,74,74,86,60,50,27
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Rehobothkerk,0622::SB4,3131 LL,1551,622,26,7,0,0,0,578,74,0,0,3,0,0,0,652,81,70,77,114,89,58,64,69
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Zorgcentrum Soenda,0622::SB5,3131 LV,1605,829,14,7,0,1,0,776,73,0,0,1,0,0,0,849,107,100,103,94,120,90,84,131
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Bibliotheek Centrum,0622::SB6,3131 CS,1435,478,15,2,0,0,0,444,49,0,0,2,0,0,0,493,50,66,61,79,84,67,54,17
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Buurthuis de Pijpelaar,0622::SB7,3131 EV,1975,543,8,6,0,0,0,490,65,0,0,2,0,2,0,555,60,68,86,58,109,66,50,46
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Basisschool Het Visnet,0622::SB8,3131 PS,1887,416,9,7,0,0,0,400,32,0,0,0,0,0,0,432,30,76,65,31,75,90,28,21
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Wooncentrum De Bolder,0622::SB9,3133 BK,747,351,7,2,0,0,0,336,24,0,0,0,0,0,0,360,40,40,47,42,62,36,58,26
Delfland,Vlaardingen,AB2015_Delfland,Algemeen bestuur van het hoogheemraadschap van Delfland 2015,,Delfland,2015-03-18,Stembureau Calvijnschool,0622::SB10,3132 JB,1707,401,14,0,0,0,0,367,48,0,0,0,0,0,0,415,54,41,46,46,57,36,46,75
