contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,ChristenUnie,Sallandse Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),VVD,Algemene Waterschapspartij
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Parochiecentrum Het Klooster,0166::SB1,8261 AS,1895,721,9,18,0,0,0,688,60,0,0,0,0,0,0,748,238,131,109,25,60,115,43
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Quintus,0166::SB2,8261 GC,1874,953,29,7,0,0,0,891,98,0,0,0,0,0,0,989,316,189,183,26,68,109,62
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Wijkcentrum Reijersdam,0166::SB3,8262 CN,1914,750,30,10,0,2,0,716,77,0,1,0,3,0,0,793,301,117,111,38,69,58,56
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Westerkerk,0166::SB4,8262 DC,1864,758,8,14,0,0,0,732,48,0,0,0,0,0,0,780,256,172,125,28,70,58,49
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Myosotis,0166::SB5,8266 AB,1767,999,16,11,0,1,0,927,100,0,0,0,1,0,0,1027,301,198,189,35,120,99,57
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Stadhuis,0166::SB6,8261 DD,1645,1096,35,4,0,0,2,995,139,0,1,0,1,0,0,1136,347,278,155,30,148,96,42
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Het Stroomdal,0166::SB7,8266 KL,1809,893,15,2,0,2,0,804,108,0,0,0,0,0,0,912,168,164,186,30,174,148,23
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Ommeland,0166::SB8,8262 WE,1412,611,13,5,0,2,0,587,44,0,0,0,2,0,0,631,192,191,77,21,60,46,24
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Het Meerrijk,0166::SB9,8265 ZD,1510,743,16,7,0,2,0,720,44,0,0,2,0,0,0,764,271,155,124,28,69,63,33
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Kerkelijk Centrum Open Hof,0166::SB10,8265 BB,1446,602,14,4,0,3,0,557,60,0,0,0,0,0,0,617,245,95,92,18,66,39,47
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Amandelboom,0166::SB11,8265 DA,1791,797,8,5,0,0,0,744,66,0,0,0,0,0,0,810,257,160,167,24,104,48,37
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Vijverhof,0166::SB12,8265 GB,1797,866,16,7,0,0,0,821,68,0,0,0,0,0,0,889,256,191,177,28,101,65,48
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Morgenster,0166::SB13,8265 KA,1862,916,17,6,0,0,0,834,105,0,0,0,0,0,0,939,285,207,198,35,73,73,45
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Veenhof,0166::SB14,8278 BC,582,356,1,2,0,0,0,301,58,0,0,0,0,0,0,359,21,57,63,3,192,15,5
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Vitree,0166::SB15,8264 PC,1845,937,11,3,0,0,0,845,107,0,1,0,1,0,0,952,255,261,129,20,109,126,37
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Dr. Schaepmanschool,0166::SB16,8265 RG,1088,565,7,2,0,0,0,520,54,0,0,0,0,0,0,574,159,130,77,11,64,95,29
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Bazuinkerk,0166::SB17,8265 RL,1203,658,22,4,0,1,0,611,72,0,0,1,0,0,0,683,164,158,104,11,69,129,23
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Vinkehorst,0166::SB18,8271 AV,1803,1058,12,4,0,0,0,939,135,0,0,0,0,0,0,1074,162,285,192,13,299,83,24
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Maarlenhof,0166::SB19,8271 TB,1653,927,14,1,0,0,0,833,109,0,0,0,0,0,0,942,132,256,159,14,291,48,27
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Bron,0166::SB20,8271 BB,1242,707,17,8,0,3,0,657,72,0,0,3,0,0,0,729,113,204,145,21,184,28,12
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Hoeksteen,0166::SB21,8271 GB,1964,1245,10,8,0,0,0,1100,165,0,0,2,0,0,0,1265,159,263,308,25,353,104,33
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Basisschool Ichthus,0166::SB22,8271 EM,1590,846,3,4,0,0,0,769,85,0,0,0,1,0,0,854,139,192,233,15,195,41,31
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Hervormd Verenigingsgebouw,0166::SB23,8277 AA,1491,853,4,1,0,0,0,740,118,0,0,0,0,0,0,858,55,145,89,4,502,46,12
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau N.H. Verenigingsgebouw,0166::SB24,8274 AN,658,396,4,5,0,0,0,378,27,0,0,0,0,0,0,405,63,116,117,8,67,14,11
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Kandelaar,0166::SB25,8275 AH,601,364,8,1,0,0,0,341,32,0,0,0,0,0,0,373,43,125,95,5,71,18,7
Groot Salland,Kampen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Hoge Brink,0166::SB26,8276 AE,548,383,4,6,0,1,0,359,33,0,0,0,0,0,0,392,55,94,98,3,103,19,11
