contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Bemelen,1903::SB1,6268 NE,498,227,25,5,0,1,0,225,31,0,0,1,0,0,0,256,15,1,41,124,17,1,21,7
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Harmoniezaal Banholt,1903::SB2,6262 NX,820,400,14,7,0,0,0,375,46,0,0,0,0,0,0,421,21,3,27,321,12,1,5,10
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Harmoniezaal Mheer,1903::SB3,6261 NH,777,449,17,4,4,0,0,424,50,0,0,0,4,0,0,474,23,3,41,345,10,2,13,12
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Paviljoen Berggalm,1903::SB4,6255 AH,890,452,19,6,0,0,0,407,70,0,0,0,0,0,0,477,27,0,52,344,11,1,12,5
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis St. Geertruid,1903::SB5,6265 AR,1149,590,20,9,0,0,0,534,85,0,0,0,0,0,0,619,25,2,29,499,15,2,7,11
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Harmoniezaal Eckelrade,1903::SB6,6251 NB,569,288,21,1,0,1,0,273,38,0,0,0,1,0,0,311,22,4,35,190,9,1,18,9
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Scheulder,1903::SB7,6307 PC,278,147,14,4,0,0,0,147,18,0,0,0,0,0,0,165,20,3,10,104,5,0,4,1
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zaal-café Riékelt,1903::SB8,6247 AN,578,261,14,7,0,0,0,253,29,0,0,0,0,0,0,282,13,1,27,161,31,2,13,13
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Feesthoeve De Laathof,1903::SB9,6245 KK,353,155,14,8,0,0,0,151,26,0,0,0,0,0,0,177,10,1,12,104,18,0,9,1
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeentehuis,1903::SB10,6269 DA,3030,1381,51,19,0,0,0,1263,188,0,0,0,0,0,0,1451,72,13,119,1056,44,5,43,29
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau 't Keerhoes,1903::SB11,6267 CG,2830,1266,93,21,0,0,2,1245,133,0,0,0,0,0,0,1380,37,12,130,852,79,9,89,58
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau M.F.A. Gronsveld,1903::SB12,6247 CM,1959,760,49,12,0,0,1,751,69,0,0,0,0,0,0,821,30,1,101,464,79,4,39,42
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Brede School Op de Cour,1903::SB13,6245 RE,1623,592,30,7,0,0,0,556,73,0,0,0,0,0,0,629,6,8,68,352,85,7,38,28
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zaal-café du Commerce,1903::SB14,6245 LD,767,300,1,11,0,0,0,263,49,0,0,0,0,0,0,312,12,1,36,210,25,2,6,8
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Cultureel Centrum,1903::SB15,6245 EG,1887,869,33,17,0,0,0,824,95,0,0,0,0,0,0,919,24,6,97,552,96,13,36,45
Roer en Overmaas,Eijsden-Margraten,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zaal K.O.H.,1903::SB16,6245 BH,2492,746,35,15,0,0,1,700,95,0,0,0,0,0,0,796,23,7,72,496,80,4,32,32
