contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Zalencentrum,0501::SB1,3231 VJ,1265,592,16,0,0,0,0,548,60,0,0,0,0,0,0,608,185,50,42,58,104,1,106,5,17,13,11
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Stadskantoor,0501::SB2,3231 AP,1739,721,13,8,0,4,0,678,60,0,0,4,0,0,0,738,216,53,70,79,112,7,114,7,42,9,12
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Scheepvaart en Transportcollege,0501::SB3,3232 AE,976,400,11,2,0,0,0,366,47,0,0,0,0,0,0,413,139,48,27,34,49,4,57,10,19,9,4
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wooncentrum Voorne,0501::SB4,3232 SX,1120,532,22,2,0,0,0,517,39,0,0,0,0,0,0,556,182,60,34,43,74,2,84,10,25,8,10
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Sportcomplex Dukdalf,0501::SB5,3232 CV,1425,611,24,3,0,2,0,590,50,0,0,0,2,0,0,640,204,73,61,64,59,5,64,17,22,18,24
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 't Dijckhuis,0501::SB6,3237 AK,1374,647,9,3,0,0,0,593,66,0,0,0,0,0,0,659,291,49,51,52,90,8,36,15,22,18,15
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Gaffelaar,0501::SB7,3238 AD,1523,678,21,3,2,0,0,647,57,0,0,0,2,0,0,704,247,73,47,50,108,0,79,16,30,9,19
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Plantage,0501::SB8,3232 LE,1142,490,13,2,0,2,0,454,53,0,0,0,2,0,0,507,160,61,35,37,82,3,57,7,30,7,11
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wellantcollege,0501::SB9,3232 VC,1132,398,3,9,1,0,0,377,32,0,0,1,0,0,0,409,148,48,21,36,25,4,52,12,24,16,12
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Les Rives,0501::SB10,3232 GN,868,327,11,3,0,0,0,327,14,0,0,0,0,0,0,341,101,39,24,26,67,3,34,6,11,10,6
Hollandse Delta,Brielle,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Maerlant,0501::SB11,3232 PX,916,396,14,1,0,0,0,367,44,0,0,0,0,0,0,411,158,43,29,21,46,1,53,5,26,6,8
