contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeentehuis,0946::SB1,6031 VR,2285,1172,37,13,0,0,1,1094,127,0,0,0,0,0,0,1222,881,7,4,159,9,55,57
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum St. Joseph,0946::SB2,6031 BL,1553,533,25,5,0,1,0,491,73,0,0,0,1,0,0,564,390,5,2,71,1,33,31
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Basisschool De Kerneel,0946::SB3,6031 HR,1711,590,2,8,0,0,0,514,86,0,0,0,0,0,0,600,447,7,0,57,1,50,28
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1261,621,36,5,0,1,0,590,73,0,0,0,1,0,0,663,467,5,9,68,3,38,31
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,861,414,10,4,0,0,0,372,56,0,0,0,0,0,0,428,336,6,0,44,1,17,10
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Kerkelijke voorziening Budschop,0946::SB6,6031 BD,1439,635,33,11,0,0,0,606,73,0,0,0,0,0,0,679,497,6,3,55,6,43,25
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Stichting M.F.A. Haaze-hoof,0946::SB7,6035 AS,1260,585,19,6,0,0,0,534,76,0,0,0,0,0,0,610,485,5,0,41,1,29,24
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau V.O.F. Café de Prins,0946::SB8,6035 AN,1448,502,12,4,0,0,0,455,63,0,0,0,0,0,0,518,408,4,7,35,5,29,14
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,571,260,5,1,0,0,0,231,35,0,0,0,0,0,0,266,197,5,3,18,2,30,5
Peel en Maasvallei,Nederweert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1264,635,32,7,0,0,1,600,73,0,0,0,0,0,0,674,477,5,6,84,7,43,13
