contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Boschpoort,1895::SB1,9671 GB,1166,715,28,5,0,0,1,686,61,0,0,0,0,0,0,748,221,84,84,104,37,51,67,67
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Leger des Heils,1895::SB2,9671 CC,1059,463,13,4,0,0,0,440,40,0,0,0,0,0,0,480,125,46,82,94,16,24,39,37
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1621,720,17,0,0,0,0,667,70,0,0,0,0,0,0,737,279,106,69,67,34,36,55,74
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1309,547,11,6,0,0,0,518,46,0,0,0,0,0,0,564,212,89,42,40,21,51,44,48
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Voormalige kantine brandweer,1895::SB5,9675 HJ,1411,697,10,9,0,0,0,646,69,0,1,1,0,0,0,715,234,85,72,98,42,50,64,52
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Speeltuinvereniging Bovenburen,1895::SB6,9675 JW,1524,471,9,7,0,0,0,443,44,0,0,0,0,0,0,487,210,49,41,35,26,31,45,34
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Renselheerdt,1895::SB7,9675 AB,1140,622,19,4,0,0,0,598,46,0,0,1,0,1,0,644,218,96,57,50,27,46,55,73
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Voormalig SBO Delta,1895::SB8,9675 HH,1114,323,5,2,0,0,0,295,35,0,0,0,0,0,0,330,125,40,23,18,21,36,38,22
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Het Parkholt,1895::SB9,9675 JA,1368,831,12,3,0,0,1,783,62,0,0,0,0,0,0,846,306,83,103,138,47,47,62,45
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Campus Winschoten,1895::SB10,9673 GS,1223,401,7,1,0,0,0,366,43,0,0,0,0,0,0,409,130,55,39,53,28,35,34,27
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Het Vondelhuys,1895::SB12,9673 JH,1784,731,21,6,0,0,0,694,66,0,2,0,2,0,0,760,239,99,85,65,47,56,73,67
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Nieuw Vredenhoven,1895::SB20,9679 AX,1222,503,9,1,0,0,0,480,33,0,0,0,0,0,0,513,136,78,91,59,27,29,39,44
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dagcafé Overal en Nergens,1895::SB21,9943 PB,392,226,5,3,0,0,0,203,31,0,0,0,0,0,0,234,71,29,19,29,9,15,35,19
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis De Tille,1895::SB22,9678 PR,1149,548,12,3,0,1,0,520,44,0,0,0,1,0,0,564,147,46,75,71,83,41,47,38
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Brasserie Slag bij Heiligerlee,1895::SB23,9677 PB,1214,567,11,6,0,0,0,532,52,0,0,0,0,0,0,584,182,92,37,81,29,47,47,52
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis 't Trefpunt,1895::SB24,9944 AG,1107,526,1,3,0,0,0,474,56,0,0,0,0,0,0,530,184,59,85,72,15,32,50,29
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Eextahal Scheemda,1895::SB25,9679 HA,1584,741,10,8,0,0,0,698,61,0,0,0,0,0,0,759,204,97,102,125,45,43,68,57
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dependance gemeentehuis,1895::SB26,9679 BR,1291,791,19,3,0,0,1,754,58,0,0,0,0,0,0,813,241,89,156,92,56,48,61,48
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gasterij Smits,1895::SB27,9681 AL,1764,846,18,7,0,0,0,782,89,0,0,0,0,0,0,871,197,105,249,65,70,46,67,47
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Equipo Blauwestad,1895::SB28,9682 VK,891,301,3,10,0,0,0,270,44,0,0,0,0,0,0,314,91,16,29,74,11,26,32,22
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Café De Twee Oldambten,1895::SB29,9682 RB,845,472,5,11,0,0,0,447,41,0,0,0,0,0,0,488,120,31,126,53,44,22,41,35
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Tjamme,1895::SB30,9686 PC,1757,766,23,8,0,0,0,706,91,0,0,0,0,0,0,797,278,80,49,117,11,52,105,74
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau OBS de Bouwsteen,1895::SB31,9684 AM,1741,699,18,4,0,0,0,630,91,0,0,0,0,0,0,721,238,81,39,93,21,59,81,87
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Noorderlicht,1895::SB32,9688 RV,573,282,8,1,0,0,0,262,29,0,0,0,0,0,0,291,77,23,35,65,3,6,40,33
Hunze en Aa's,Oldambt,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Akkerschans,1895::SB33,9693 BS,1195,488,12,3,0,0,1,464,38,0,0,0,0,0,0,503,165,58,33,47,12,40,63,70
