contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Zorgcentrum Graafzicht,1927::SB1,2971 AC,2038,1220,10,6,0,0,0,1084,152,0,0,0,0,0,0,1236,254,49,38,29,98,415,72,188,22,33,3,19
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Verenigingsgebouw Trefpunt,1927::SB2,2969 AN,1616,953,9,6,0,0,0,851,117,0,0,0,0,0,0,968,185,47,47,35,37,278,95,177,21,21,3,7
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Boerenklaas,1927::SB3,2974 BD,1765,1017,4,4,0,0,0,858,167,0,0,0,0,0,0,1025,324,48,59,32,41,186,73,201,10,27,1,15
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau 't Wingerds Hof,1927::SB4,3366 BD,514,353,2,0,0,0,0,316,39,0,0,0,0,0,0,355,116,16,11,12,11,97,24,45,11,6,0,4
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis Ottoland,1927::SB5,2975 BV,675,460,3,1,0,0,0,404,60,0,0,0,0,0,0,464,190,25,17,12,13,76,34,61,9,19,0,4
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Multistee,1927::SB6,2977 AB,679,453,6,1,0,0,0,416,44,0,0,0,0,0,0,460,168,23,19,18,15,76,38,64,10,14,1,7
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Hof van Ammers,1927::SB7,2964 BC,1588,1082,19,8,0,0,0,989,120,0,0,0,0,0,0,1109,236,75,46,60,33,235,124,180,20,31,8,34
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Sporthal De Reiger,1927::SB8,2964 AV,1578,727,6,1,0,0,0,630,104,0,0,0,0,0,0,734,151,45,26,34,28,137,98,131,12,39,4,22
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Vijverhof,1927::SB9,2965 CG,1110,661,10,1,0,0,0,592,80,0,0,0,0,0,0,672,134,51,69,48,20,80,81,130,14,13,4,17
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Koningskerk,1927::SB10,2967 EG,1256,742,5,1,0,0,0,658,91,0,0,0,1,0,1,749,136,73,47,48,10,104,84,167,23,28,0,22
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau De Strevenaer,1927::SB11,2959 BJ,1833,1002,24,5,0,0,1,906,124,0,0,0,0,0,0,1031,174,82,109,51,47,227,88,141,26,30,1,26
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Ontmoetingskerk,1927::SB12,2957 CH,1728,944,8,2,0,0,0,808,146,0,0,0,0,0,0,954,97,40,54,26,26,414,42,171,29,17,2,26
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Woonzorgcomplex 't Waellant,1927::SB13,2957 NH,1655,889,13,6,0,0,0,802,105,0,0,1,0,0,0,907,109,44,69,29,32,260,55,220,28,19,9,15
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Sporthal De Klipper,1927::SB14,2957 EM,1428,878,14,1,0,0,0,803,91,0,0,0,1,0,0,894,78,70,97,40,36,259,33,189,8,31,6,31
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Bredeschool,1927::SB15,2957 RK,1331,908,9,1,0,0,0,792,126,0,0,0,0,0,0,918,78,50,68,30,42,344,45,158,20,46,7,20
Rivierenland,Molenwaard,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Partycentrum De Klok,1927::SB16,2961 AK,614,333,1,1,0,0,0,297,38,0,0,0,0,0,0,335,28,26,28,16,11,76,35,69,12,17,4,11
