contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Rikkingahof"" Oosterwolde",0085::SB1,,1251,687,9,4,0,0,0,651,49,0,0,0,0,0,0,700,214,84,108,36,44,36,63,30,28,44
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Openbare Bibliotheek,0085::SB2,,1299,551,11,0,0,0,0,525,37,0,0,0,0,0,0,562,187,76,57,42,55,19,37,23,26,29
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Makkinga,0085::SB3,,830,426,8,1,0,0,0,401,34,0,0,0,0,0,0,435,103,58,35,44,69,14,44,10,7,42
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Kantine dorpsbelang Nijeberkoop,0085::SB4,,216,128,0,1,0,0,0,111,18,0,0,0,0,0,0,129,18,11,20,9,23,0,22,0,7,18
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""'t Kamphuis"" Oldeberkoop",0085::SB5,,1222,675,5,3,0,0,0,633,50,0,0,0,0,0,0,683,145,128,68,43,97,35,59,24,23,53
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Zaal ""'t Anker"" Elsloo",0085::SB6,,476,226,3,1,0,0,0,210,20,0,0,0,0,0,0,230,38,15,56,23,39,6,26,1,10,12
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Langedijke,0085::SB7,,323,205,4,0,0,0,0,188,21,0,0,0,0,0,0,209,50,17,24,13,41,7,18,8,10,17
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Verenigings Kamer,0085::SB8,,1367,645,12,2,0,0,1,602,56,0,0,0,0,0,0,659,143,101,96,63,38,25,67,19,30,63
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Aanloop"" Appelscha",0085::SB9,,1083,650,8,3,0,0,2,584,75,0,0,0,0,0,0,661,150,67,109,79,47,31,70,20,36,41
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Fochteloo,0085::SB10,,331,211,3,2,0,0,0,194,22,0,0,0,0,0,0,216,38,16,27,11,43,9,25,13,9,20
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Pro Rege"" Donkerbroek",0085::SB11,,1430,745,10,7,0,0,0,708,54,0,0,0,0,0,0,762,161,69,131,64,128,49,58,32,22,31
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Het Anker"" Oosterwolde",0085::SB12,,1149,558,9,1,0,0,0,533,35,0,0,0,0,0,0,568,150,74,82,45,29,29,65,16,29,39
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Haule,0085::SB13,,474,266,2,1,0,0,0,242,27,0,0,0,0,0,0,269,56,22,29,14,72,8,17,19,13,16
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau MFC Waskemeer,0085::SB14,,647,364,5,0,0,0,0,336,33,0,0,0,0,0,0,369,65,28,83,28,38,23,33,43,7,16
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Sinnehiem"" Haulerwijk",0085::SB15,,1192,572,10,5,0,0,0,536,51,0,0,0,0,0,0,587,142,57,92,47,20,30,24,97,28,35
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Enter"" Haulerwijk",0085::SB16,,1372,769,18,2,0,0,0,717,72,0,0,0,0,0,0,789,183,43,132,48,63,44,69,126,28,33
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Ravenswoud,0085::SB17,,320,195,0,3,0,0,0,180,18,0,0,0,0,0,0,198,53,16,18,30,5,5,26,4,11,27
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""De Miente"" Oosterwolde",0085::SB18,,2159,838,17,9,0,0,1,821,42,0,0,0,0,0,0,864,235,108,117,79,42,43,74,31,45,64
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis Oosterwolde,0085::SB19,,1034,430,6,2,0,0,2,409,27,0,0,0,0,0,0,438,107,58,48,25,64,12,48,19,16,33
Fryslân,Ooststellingwerf,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau ""Stellinghaven"" Oosterwolde",0085::SB20,,1004,492,7,6,0,0,0,460,45,0,0,0,0,0,0,505,153,78,47,52,36,18,36,21,17,34
