contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Stadshuis,0356::SB1,3431 LZ,1499,814,33,6,0,0,1,783,71,0,2,0,2,0,0,855,161,122,126,139,97,35,43,3,88
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Obs de Schakel,0356::SB2,3431 AC,2103,524,25,6,0,0,2,510,43,0,0,0,0,0,0,555,104,79,81,47,67,26,40,10,70
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Merwestein,0356::SB3,3432 GH,1316,413,7,4,0,0,0,398,26,0,0,0,0,0,0,424,89,49,65,54,52,31,32,0,41
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,"Stembureau Gemeenschapsruimte ""boerderij Bos""",0356::SB4,3437 KN,1593,648,19,4,0,0,0,610,61,0,0,0,0,0,0,671,138,89,94,112,81,26,22,5,81
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Buurthuis Kerkveld,0356::SB5,3431 EC,2143,959,25,10,0,0,0,914,81,0,1,0,1,0,0,995,188,166,134,162,101,38,75,8,87
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,2058,840,6,25,0,0,2,784,85,0,0,0,0,0,0,871,191,125,95,116,104,33,49,11,116
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool De Toonlandder,0356::SB7,3437 PJ,1668,613,12,6,0,0,0,568,64,0,0,0,1,0,1,632,122,86,72,118,64,39,32,6,74
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau RK basisschool Vroonestein,0356::SB8,3438 RA,2058,819,34,6,0,0,0,754,105,0,0,0,0,0,0,859,200,111,115,135,91,31,40,9,87
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Cimbaal,0356::SB9,3438 DA,1522,498,11,2,0,0,0,462,49,0,0,0,0,0,0,511,137,67,82,66,54,17,27,6,42
De Stichtse Rijnlanden,Nieuwegein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1506,449,18,1,0,0,0,422,46,0,0,0,0,0,0,468,114,51,67,72,48,18,22,0,57
