contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeentehuis Horst a/d Maas (Horst),1507::SB1,,2861,1091,53,14,0,0,0,1003,156,0,1,0,1,0,0,1159,7,711,40,184,18,45,86
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Verzorgingshuis Berkele Heem (Horst),1507::SB2,,2090,771,34,7,0,0,1,97,714,0,0,0,0,0,0,812,14,536,36,114,11,24,36
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau OJC Niks (Horst),1507::SB3,,2744,1000,31,4,0,0,1,905,130,0,1,0,1,0,0,1036,12,628,35,187,23,46,69
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Lèste Geulde (Horst),1507::SB4,,1650,786,19,7,0,0,0,739,73,0,0,0,0,0,0,812,9,518,44,119,8,44,44
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Kantine Dendron Sporthal (Horst),1507::SB5,,918,435,19,0,0,0,0,401,53,0,0,0,0,0,0,454,5,274,30,74,12,19,21
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Woonz.compl. Aan de Brug (America),1507::SB6,,1676,658,19,9,0,0,0,595,91,0,0,0,0,0,0,686,16,438,18,79,9,20,78
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gem.huis 'De Zaal' (Griendtsveen),1507::SB7,,422,207,6,0,0,0,0,189,24,0,0,0,0,0,0,213,2,39,11,36,1,11,107
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zaal Debije (Hegelsom),1507::SB8,,1502,627,18,1,0,0,0,553,93,0,0,0,0,0,0,646,16,473,11,39,6,34,48
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau MFC de Zwingel (Melderslo),1507::SB9,,1576,612,1,22,1,0,0,559,77,0,0,0,1,0,0,636,7,467,27,63,12,22,14
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gem. huis 'De Meulewiek' (Meterik),1507::SB10,,1198,534,12,3,0,0,0,476,73,0,0,0,0,0,0,549,5,423,4,51,5,23,23
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau BMV De Schakel (Broekhuizenvorst),1507::SB11,,878,364,16,3,0,0,0,352,31,0,0,0,0,0,0,383,7,185,55,72,11,18,16
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Naesenhof (Broekhuizen),1507::SB12,,621,320,9,2,0,0,0,297,34,0,0,0,0,0,0,331,10,151,41,77,9,14,18
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Smetenhof (Lottum),1507::SB13,,1589,614,36,5,0,0,0,596,59,0,0,0,0,0,0,655,8,324,31,139,24,52,36
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Woonzorgcompl. Grootoord (Gr.vorst),1507::SB14,,1773,722,33,13,0,0,0,695,73,0,0,0,0,0,0,768,17,231,32,281,55,62,44
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgc. La Providence (Gr. vorst),1507::SB15,,2074,879,33,3,0,0,1,825,89,0,0,0,0,0,0,915,25,301,65,275,68,69,76
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sporthal de Kruisweide,1507::SB16,,2549,1018,34,10,0,1,0,933,130,0,0,0,1,0,0,1063,17,599,25,261,17,52,47
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Verzorgingshuis Sevenheym (Sevenum),1507::SB17,,2544,1184,44,12,0,0,0,1081,159,0,0,0,0,0,0,1240,34,678,40,267,25,68,72
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Torrekoel (Kronenberg),1507::SB18,,1149,527,26,4,0,0,0,493,64,0,0,0,0,0,0,557,21,306,16,86,9,47,42
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau 't Brugeind (Meerlo),1507::SB19,,1475,608,35,2,0,0,0,583,62,0,0,0,0,0,0,645,9,218,153,150,12,30,36
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Café-Zaal Wilhelmina (Swolgen),1507::SB20,,972,389,9,2,0,0,1,337,62,0,0,0,0,0,0,400,4,202,70,55,8,22,28
Peel en Maasvallei,Horst aan de Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Dienstencentrum (Tienray),1507::SB21,,947,374,21,3,0,0,0,370,28,0,0,0,0,0,0,398,8,214,46,56,7,21,22
