contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1244,689,15,5,0,0,0,636,73,0,0,0,0,0,0,709,81,137,143,58,72,85,38,75
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Parkwijkschool,0037::SB2,9503 CD,1272,516,14,5,0,0,0,484,51,0,0,0,0,0,0,535,86,75,101,47,54,66,30,57
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Wijklokaal Parkwijk,0037::SB3,9503 KA,934,259,7,1,0,0,0,238,29,0,0,0,0,0,0,267,50,36,36,15,32,32,33,25
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""De Rank"" Oosterkade 5",0037::SB4,9503 HN,570,211,3,7,0,1,0,200,22,0,0,0,1,0,0,222,30,22,53,12,41,25,12,16
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Hagenhofschool,0037::SB5,9501 WD,1145,538,11,2,0,0,0,509,42,0,0,0,0,0,0,551,100,97,73,31,72,75,33,57
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Sporthal de Spont,0037::SB6,9501 DB,1011,379,7,9,0,0,0,371,24,0,0,0,0,0,0,395,72,82,46,17,31,56,29,46
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""Maarsheerd""",0037::SB7,9501 AM,852,624,7,4,0,0,1,593,41,0,0,0,0,0,0,635,93,85,128,54,84,87,43,50
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gebouw Wijkraad Maarswold,0037::SB8,9501 PT,973,297,7,1,0,0,0,277,28,0,0,0,0,0,0,305,52,55,36,11,33,49,23,38
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Meester Neuteboomschool,0037::SB9,9502 CR,1366,824,10,9,0,0,0,785,58,0,0,0,0,0,0,843,172,124,102,25,127,109,69,96
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Pagedal, Hoveniersweg 1",0037::SB10,9502 BW,1345,510,13,5,0,0,0,481,47,0,0,0,0,0,0,528,65,79,65,63,74,82,27,55
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Chr. Gereformeerde Kerk,0037::SB11,9501 BZ,1514,731,9,3,0,0,0,682,63,0,2,0,2,0,0,745,86,118,141,47,151,101,36,51
