contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Water Natuurlijk,CDA,SGP-ChristenUnie,DWLK & Schieland: Helder als water,Stichting Veilig Vitaal Waterbeheer,Algemene Waterschapspartij,50PLUS
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Coolsingel 40 (links),0599::SB1,3011 AD,1191,326,25,4,0,0,0,323,30,0,0,2,0,2,0,353,63,82,66,38,9,13,11,29,15
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Goudseweg 17 (links),0599::SB2,3031 XH,1730,318,18,4,0,1,1,308,32,0,0,0,1,0,0,341,74,49,72,29,7,12,4,29,42
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Raampoortstraat 15,0599::SB3,3032 AH,2954,420,21,8,0,5,0,403,51,0,0,0,5,0,0,454,102,65,105,23,20,15,16,30,44
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Springerstraat 340,0599::SB5,3067 CX,1660,725,15,7,2,0,0,684,65,0,0,0,2,0,0,749,121,75,82,131,129,29,21,45,92
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Marcel Duchampplein 801 (links),0599::SB6,3059 RB,1565,399,9,7,0,0,0,349,66,0,0,2,0,0,0,415,47,129,57,45,17,20,21,30,33
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Anna van Westrienenstraat 1,0599::SB7,3038 SX,1719,468,35,7,0,0,0,473,39,0,0,0,0,0,2,512,127,54,118,40,15,16,16,42,40
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Bergsingel 152 (links),0599::SB8,3037 GM,1341,516,12,8,0,0,0,488,48,0,0,0,0,0,0,536,109,77,145,42,28,22,20,44,29
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Cole Porterstraat 2,0599::SB9,3069 ZD,1536,592,9,1,0,0,1,546,55,0,0,0,0,0,0,602,96,134,118,58,21,27,18,44,76
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Schiedamse Vest 188 (links),0599::SB10,3011 BH,1390,402,29,5,0,1,0,411,26,0,0,0,1,0,0,437,93,98,92,34,7,13,14,27,24
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Statensingel 103,0599::SB11,3039 LH,1505,620,43,5,0,2,0,612,54,0,0,2,0,0,0,666,119,94,171,64,17,26,17,58,54
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Bergwegplantsoen 10,0599::SB12,3037 SK,1123,506,16,9,0,0,0,483,48,0,0,0,0,0,0,531,116,53,123,43,20,22,19,47,63
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau De Vliegerstraat 55 (links),0599::SB13,3021 ZN,1767,453,46,0,3,0,0,438,58,0,0,3,0,0,0,496,117,58,120,39,17,16,9,45,32
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Achillesstraat 290,0599::SB14,3054 RL,1324,563,29,9,0,0,0,549,52,0,0,0,0,0,0,601,89,139,90,66,20,24,19,29,87
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Vrijenbansestraat 48,0599::SB17,3037 VZ,972,265,15,7,0,0,0,246,42,0,1,0,1,0,0,288,89,28,66,22,7,7,9,17,20
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Oostzeedijk 276 (links),0599::SB19,3063 CA,775,460,17,3,0,0,0,436,44,0,0,0,0,0,0,480,68,154,76,58,15,12,12,36,29
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Hoogstraat 110 (links),0599::SB20,3011 PV,2457,1003,67,12,0,0,0,999,85,0,2,0,2,0,0,1084,207,319,185,84,26,26,34,86,36
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Maria Wesselingstraat 14 (links),0599::SB21,3065 GA,1495,458,19,8,0,0,0,432,53,0,0,0,0,0,0,485,87,106,79,55,25,20,19,19,48
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Schommelstraat 69 (links),0599::SB22,3035 CG,1650,266,20,5,0,1,0,260,30,0,0,1,0,0,0,290,72,28,57,29,13,13,9,18,27
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Westerstraat 10,0599::SB23,3016 DH,1079,557,24,9,1,0,0,538,53,0,0,0,1,0,0,591,80,202,112,55,19,20,11,41,17
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Noorderhavenkade 8 (links),0599::SB24,3038 XG,1247,404,24,4,0,1,0,409,24,0,0,0,1,0,0,433,86,74,101,34,27,11,10,37,24
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Meidoornstraat 55 (links),0599::SB25,3036 WC,1420,294,17,2,1,2,0,262,48,0,0,3,0,0,0,310,86,32,69,35,9,8,3,24,28
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Pergolesilaan 7,0599::SB26,3055 SK,871,537,8,5,0,1,0,482,67,0,0,1,0,0,0,549,39,249,106,51,10,24,18,25,15
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Josephstraat 10 (links),0599::SB27,3014 TP,1191,271,13,7,0,0,44,247,0,0,0,0,0,0,0,291,94,32,69,14,12,10,6,6,28
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Ruivenstraat 39,0599::SB28,3036 DD,1307,250,25,5,0,0,0,249,31,0,0,0,0,0,0,280,63,23,65,24,12,13,9,20,21
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau s-Gravenwetering 98,0599::SB30,3062 SJ,1360,571,15,4,0,0,0,509,81,0,0,0,0,0,0,590,43,340,66,63,13,13,9,23,1
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Hooglandstraat 67,0599::SB31,3036 PD,1601,331,18,6,0,0,0,317,39,0,0,0,1,0,0,356,108,22,70,39,24,9,16,15,28
Schieland en de Krimpenerwaard,Rotterdam,AB2015_SchielandendeKrimpenerwaard,Algemeen bestuur van het hoogheemraadschap van Schieland en de Krimpenerwaard 2015,,Schieland en de Krimpenerwaard,2015-03-18,Stembureau Ringvaartweg 125 (links),0599::SB32,3065 AC,1337,598,15,6,0,2,0,527,89,0,1,3,0,0,0,616,99,228,106,58,17,21,20,25,24
