contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Stadhuis,0505::SB1,3300 AA,1526,1080,47,1,0,0,2,1021,105,0,0,0,0,0,0,1128,284,67,150,183,171,28,47,43,40,12,55
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Stadskantoor,0505::SB2,3311 GR,1470,890,32,7,0,0,1,827,101,0,0,0,0,0,0,929,215,81,124,148,97,43,49,43,27,14,49
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Het Praathuis,0505::SB3,3311 XN,1256,274,10,2,0,0,0,256,30,0,0,0,0,0,0,286,71,19,52,54,15,3,9,10,24,9,8
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Centrum Stapal,0505::SB4,3311 TV,1294,602,12,7,0,1,0,576,44,0,0,1,0,0,0,620,172,60,87,76,55,5,34,26,43,17,27
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Wielborgh, het Stadswiel",0505::SB6,3311 GB,1546,477,29,4,0,0,0,485,25,0,0,0,0,0,0,510,128,38,68,74,64,7,17,24,22,10,25
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Schoolgebouw,0505::SB7,3311 LG,1475,553,17,9,0,0,55,523,0,0,0,1,0,1,0,578,113,55,103,94,73,23,28,26,16,4,18
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Dordrechts Museum,0505::SB8,3311 XP,2924,731,41,9,0,0,0,712,69,0,0,0,0,0,0,781,181,51,121,116,76,13,34,31,48,19,41
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Energiehuis,0505::SB9,3311 RR,1519,507,14,8,0,0,0,455,74,0,0,0,0,0,0,529,147,34,97,88,52,4,21,23,16,7,18
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau School Noordhove,0505::SB10,3312 EP,1418,479,15,1,0,0,0,455,47,0,0,0,0,0,0,502,131,36,57,79,38,21,19,39,21,14,24
Hollandse Delta,Dordrecht,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Schoolgebouw,0505::SB15,3312 GS,1327,588,27,12,0,0,0,564,65,0,2,0,2,0,0,629,151,44,86,101,57,27,29,49,17,10,17
