contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Stadhuis,0034::SB1,,1413,924,46,22,0,0,3,902,89,0,2,0,2,0,0,994,338,35,87,113,178,67,11,95
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Zorgcentrum De Overloop,0034::SB2,,1151,399,17,1,0,0,0,388,29,0,0,0,0,0,0,417,157,29,19,35,58,9,8,84
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Polderhof,0034::SB3,,1321,538,10,6,0,0,0,494,61,0,1,0,1,0,0,555,228,37,55,41,56,25,9,87
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Loofhut,0034::SB4,,2247,958,34,4,0,0,0,900,95,0,0,1,0,1,0,995,390,71,76,104,126,26,12,153
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Klaverweide,0034::SB7,,1686,634,4,19,0,0,0,589,68,0,0,0,0,0,0,657,240,27,54,70,125,16,0,102
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School Het Drieluik,0034::SB8,,2270,619,16,3,0,0,0,566,72,0,0,0,0,0,0,638,237,47,54,55,122,29,10,65
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtcentrum Amerika,0034::SB9,,3174,754,11,11,0,1,0,682,95,0,0,0,1,0,0,777,274,66,61,86,169,27,8,63
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1492,660,9,10,0,0,0,614,65,0,0,0,0,0,0,679,274,59,62,77,66,19,1,102
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Regenboog,0034::SB13,,1351,583,30,10,0,0,0,570,53,0,0,0,0,0,0,623,261,37,40,71,50,23,7,94
Zuiderzeeland,Almere,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Wierwinde,0034::SB14,,1435,494,9,4,0,0,0,448,58,0,0,1,0,0,0,506,216,28,39,44,67,20,3,77
