contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Raadhuis,0402::SB1,1217 JE,1416,882,36,2,0,0,0,811,109,0,0,0,0,0,0,920,169,96,250,95,16,79,24,19,28,28,26,40,12
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Mozarthof School,0402::SB2,1217 CM,1585,867,0,23,0,16,0,797,109,0,0,0,16,0,0,906,120,52,420,117,4,55,16,9,20,10,10,29,5
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Openbare Bibliotheek,0402::SB3,1217 EH,1860,973,29,13,0,1,0,901,113,0,0,1,0,0,0,1014,166,111,335,109,14,55,11,10,36,32,39,50,5
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Chr. Verpleeghuis 'Gooizicht',0402::SB4,1217 SH,1409,616,23,0,0,0,0,571,68,0,0,0,0,0,0,639,111,75,171,73,8,57,18,4,20,32,21,25,1
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Zorgcentrum 'De Boomberg',0402::SB5,1217 SV,2295,593,22,4,0,0,43,575,1,0,0,0,0,0,0,619,107,62,129,59,18,67,8,14,31,30,29,26,13
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Anna Gebouw,0402::SB6,1211 NE,2546,738,30,7,0,0,1,722,52,0,0,0,0,0,0,775,127,77,121,78,30,87,25,11,47,34,46,46,9
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau 'Emmaushuis',0402::SB7,1216 RN,1818,890,20,3,0,1,0,819,93,0,0,1,0,0,0,912,164,108,219,91,23,65,25,15,43,35,40,51,11
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijkcentrum 'De Koepel',0402::SB8,1216 JC,1530,1013,24,6,0,1,0,965,77,0,0,1,0,0,0,1042,163,130,161,172,31,93,30,22,66,34,78,26,7
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Goudenregenschool Kerkelanden,0402::SB9,1216 LD,1682,577,15,5,0,1,0,542,54,0,0,1,0,0,0,596,78,81,73,110,26,43,21,7,47,26,38,19,8
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Flat 'Kerkelanden',0402::SB10,1216 SB,1569,624,13,3,0,0,0,588,52,0,0,0,0,0,0,640,104,81,127,114,18,48,10,8,29,29,43,11,2
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Serviceflat 'Westerheem',0402::SB12,1215 EM,1264,741,22,4,6,0,0,706,55,0,0,6,0,0,0,761,113,104,170,106,23,46,11,16,32,57,23,34,6
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Bavinckschool,0402::SB13,1214 JS,1672,913,32,4,0,0,0,864,95,0,0,0,10,0,0,959,173,125,212,106,17,70,41,10,33,36,34,53,3
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Violenschool,0402::SB14,1214 CJ,2189,696,23,5,0,0,0,658,66,0,0,0,0,0,0,724,137,122,105,51,27,80,21,6,37,34,20,46,10
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Intern. school (vh Rembr.sch.),0402::SB15,1213 BH,2493,955,29,7,0,1,0,893,99,0,0,0,1,0,0,992,191,120,219,98,29,94,36,12,38,35,31,47,5
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Hilversumse School Vereniging,0402::SB16,1213 BM,981,570,20,5,0,0,1,517,78,0,0,0,1,0,0,596,98,59,194,78,7,39,22,1,11,9,17,30,5
"Amstel, Gooi en Vecht",Hilversum,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijkcentrum 'De Zoutkeet',0402::SB17,1215 PR,1579,762,13,1,0,0,0,709,67,0,0,0,0,0,0,776,150,78,144,100,24,75,31,8,36,49,35,25,7
