contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Oude Raadhuis,1674::SB1,4701 PA,1327,680,27,5,0,0,0,629,83,0,0,0,0,0,0,712,134,73,131,58,153,47,22,62
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau Centrum voor de Kunsten, muziek",1674::SB2,4701 EK,1786,607,15,1,0,0,0,561,62,0,0,0,0,0,0,623,144,52,133,56,112,49,20,41
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Buurthuis Keijenburg,1674::SB3,4702 CG,1673,587,16,7,0,0,0,541,69,0,0,0,0,0,0,610,90,88,133,55,70,68,25,58
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Recreatiezaal Mimosa-flat,1674::SB4,4702 BR,1667,507,15,5,0,0,1,478,48,0,0,0,0,0,0,527,96,48,104,59,75,42,16,67
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Buurthuis Fatima,1674::SB5,4702 GZ,1692,613,14,3,0,0,0,574,56,0,0,0,0,0,0,630,87,76,127,66,69,90,16,82
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Wiekendael,1674::SB6,4702 ZB,1515,482,13,5,0,0,0,435,65,0,0,0,0,0,0,500,67,56,85,57,89,44,22,62
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Brede School Zwanehof,1674::SB7,4702 RG,2214,432,9,4,0,1,0,386,60,0,0,0,1,0,0,446,58,41,107,42,58,52,14,60
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Brede School Zwanehof,1674::SB8,4702 RG,1979,538,14,3,0,0,0,474,81,0,0,0,0,0,0,555,68,60,126,64,57,78,18,67
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau St. Elisabeth ingang Wouwseweg 21,1674::SB9,4703 AK,1534,604,32,2,0,0,0,575,63,0,0,0,0,0,0,638,170,49,98,68,72,58,22,67
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Westpoort,1674::SB10,4703 EX,1634,394,3,5,0,0,0,359,43,0,0,0,0,0,0,402,68,34,86,59,45,41,16,45
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Appel,1674::SB11,4703 JA,1527,312,6,5,0,0,0,288,35,0,0,0,0,0,0,323,50,29,79,36,42,30,12,34
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Appartementencomplex Waterland,1674::SB12,4707 DC,1764,612,13,7,0,0,0,581,51,0,0,0,0,0,0,632,149,45,142,51,96,41,22,66
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Brink,1674::SB13,4707 HP,1278,560,10,7,0,0,0,527,50,0,0,0,0,0,0,577,133,49,103,54,56,58,22,85
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Wildenborch ingang Genestetlaan,1674::SB14,4707 LT,1398,458,14,10,0,0,1,438,43,0,0,0,0,0,0,482,106,44,106,44,43,46,8,61
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Watermolen,1674::SB15,4707 JE,1501,437,8,2,0,0,0,391,56,0,0,0,0,0,0,447,40,65,95,61,45,53,26,52
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gertrudis,1674::SB16,4707 ZH,1218,476,25,2,0,0,1,448,54,0,0,0,0,0,0,503,73,55,123,40,60,38,27,60
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Levensschool,1674::SB17,4707 TZ,1336,419,16,6,2,0,0,400,39,0,0,2,0,0,0,439,77,40,72,62,57,47,7,57
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Saffier Diamantdijk 262,1674::SB18,4706 HM,1445,517,8,4,0,0,0,458,71,0,0,0,0,0,0,529,82,50,120,38,69,82,28,48
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau De Saffier,Diamantdijk 262",1674::SB19,4706 HM,1492,488,18,5,0,0,0,450,61,0,0,0,0,0,0,511,76,63,92,41,95,54,25,42
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Bloemschevaert,1674::SB20,4706 GH,1439,589,14,7,0,0,0,561,49,0,0,0,0,0,0,610,111,84,116,56,86,56,18,62
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Klimroos Platinadijk,1674::SB21,4706 LK,1360,462,20,5,0,0,0,418,69,0,0,0,0,0,0,487,61,54,101,31,120,42,7,46
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau De Klimroos,Platinadijk",1674::SB22,4706 LK,1931,619,14,1,0,0,0,548,86,0,0,0,0,0,0,634,84,63,161,59,124,53,24,51
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Nisipa,1674::SB23,4709 AN,1391,581,5,0,0,0,0,509,77,0,0,0,0,0,0,586,67,33,50,293,73,22,14,29
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Vondelschool,1674::SB24,4707 AG,1562,562,8,7,0,0,0,518,59,0,0,0,0,0,0,577,84,63,145,69,71,55,21,54
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Heiberg,1674::SB25,4708 EC,1916,525,13,1,0,0,0,490,49,0,0,0,0,0,0,539,73,71,122,74,66,51,22,46
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Bergspil,1674::SB26,4708 HK,1439,803,23,6,0,0,0,731,101,0,0,0,0,0,0,832,107,78,183,79,160,85,28,83
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Bergspil,1674::SB27,4708 HK,1326,426,12,1,0,0,0,385,54,0,0,0,0,0,0,439,68,43,87,48,87,35,15,43
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Wingerd Kersenberg,1674::SB28,4708 KC,1211,527,10,1,0,0,0,474,64,0,0,0,0,0,0,538,74,51,123,46,138,41,20,34
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,"Stembureau De Wingerd,Kersenberg",1674::SB29,4708 KC,1210,474,13,0,0,0,0,422,65,0,0,0,0,0,0,487,69,56,100,55,118,45,14,17
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Lantaarn,1674::SB30,4706 LN,1488,686,21,8,0,0,0,631,84,0,0,0,0,0,0,715,108,68,167,55,143,60,26,59
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Toegang,1674::SB31,4701 GZ,1627,467,16,7,0,0,0,438,52,0,0,0,0,0,0,490,78,56,86,54,71,58,15,49
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Wijkhuis West,1674::SB32,4703 HX,1411,477,17,5,0,0,0,459,40,0,0,0,0,0,0,499,62,45,123,67,54,51,20,55
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau De Wieken,1674::SB33,4707 CC,1514,570,17,2,0,0,0,533,56,0,0,0,0,0,0,589,80,73,125,63,62,78,18,71
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Levensschool,1674::SB34,4707 TZ,1212,419,16,7,0,0,0,382,60,0,0,0,0,0,0,442,81,37,81,46,54,44,17,59
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Verpleegtehuis Heerma State,1674::SB35,4708 AW,1192,571,10,2,0,0,0,515,68,0,0,0,0,0,0,583,96,52,119,47,160,28,24,45
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Verpleegtehuis Weihoek,1674::SB36,4708 AV,1241,414,12,5,0,0,0,378,53,0,0,0,0,0,0,431,78,30,64,56,90,34,17,45
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau NS Station,1674::SB37,4702 VX,533,452,11,3,0,0,1,422,43,0,0,0,0,0,0,466,57,77,94,35,89,58,24,18
Brabantse Delta,Roosendaal,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Leonardushof,1674::SB101,4724 BJ,1210,436,9,15,0,0,0,418,42,0,0,0,0,0,0,460,72,41,96,69,75,25,17,41
