contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Verzorgingshuis Vredewold,0022::SB1,9351 BP,1276,694,12,2,0,0,0,651,57,0,0,0,0,0,0,708,215,78,136,32,99,47,45,17,3,22
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gemeentehuis Leek,0022::SB2,9351 BJ,991,387,6,4,0,0,0,365,32,0,0,0,0,0,0,397,117,28,70,20,44,59,19,14,4,12
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dienstencentrum De Schutse,0022::SB3,9351 KP,1127,854,14,3,0,0,0,819,51,0,0,1,0,0,0,870,264,124,79,72,98,80,60,27,8,42
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Cazemier Boerderij,0022::SB4,9356 AT,1346,829,9,6,0,0,0,759,85,0,0,0,0,0,0,844,239,88,97,66,89,132,53,25,6,34
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Wooncentrum Tolberterheem,0022::SB5,9356 CT,1292,612,3,10,0,0,0,574,48,0,0,3,0,0,0,622,193,90,74,43,61,46,45,17,7,36
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau De Groene Borg,0022::SB6,9354 BC,870,430,2,2,0,0,0,384,50,0,0,0,0,0,0,434,92,24,100,32,47,76,30,8,3,18
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau De Vijverborg,0022::SB7,9354 BW,1260,513,9,6,0,0,0,487,38,0,0,3,0,0,0,525,112,41,149,26,39,70,32,17,2,25
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Gasterij Het Theehuis,0022::SB8,9355 TD,777,497,3,2,0,0,0,452,53,0,0,0,3,0,0,505,134,44,68,33,68,99,17,10,2,22
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau MCO De Gaveborg,0022::SB9,9828 RC,538,288,4,2,0,0,0,270,24,0,0,0,0,0,0,294,95,22,28,28,37,28,14,7,8,21
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Het Bolwerk,0022::SB10,9812 PL,250,163,4,0,0,0,0,156,11,0,0,0,0,0,0,167,25,7,9,6,92,3,0,7,0,14
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Sportcentrum Leek,0022::SB11,9351 NV,1199,680,12,5,0,0,0,628,68,0,0,1,0,0,0,696,197,73,110,36,59,104,20,32,8,41
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Sportpark Oostindie,0022::SB12,9351 XZ,925,548,15,2,0,0,0,509,54,0,0,2,0,0,0,563,108,56,81,21,89,116,8,22,5,42
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Voormalige Van Panhuysschool,0022::SB13,9351 BP,1237,457,11,6,0,0,0,427,47,0,0,0,0,0,0,474,139,52,71,34,63,28,32,15,6,17
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau de Balkhoeve,0022::SB14,9351 HC,1177,387,6,2,0,0,0,355,40,0,0,0,0,0,0,395,129,39,39,25,68,31,18,11,5,22
Noorderzijlvest,Leek,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Sportcentrum Leek 2,0022::SB15,9351 NV,1012,294,3,1,0,0,0,273,25,0,0,0,0,0,0,298,98,23,41,24,33,28,17,12,1,17
