contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,ChristenUnie,Sallandse Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),VVD,Algemene Waterschapspartij
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Rosengaerde,0148::SB1,7721 CT,1396,899,20,9,0,0,0,846,82,0,0,0,0,0,0,928,268,287,108,140,27,46,23
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1376,670,12,1,0,0,0,631,53,0,1,0,1,0,0,684,101,294,30,186,6,46,7
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Wiekelaar,0148::SB3,7722 ST,1188,601,7,5,0,0,1,551,62,0,1,0,1,0,0,614,127,255,55,89,20,43,12
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1286,726,10,12,0,1,0,671,78,0,0,0,1,0,0,749,209,314,45,73,20,44,21
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,697,429,7,0,0,0,1,382,53,0,0,0,0,0,0,436,52,233,46,47,21,22,8
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,1855,996,11,6,0,0,0,911,102,0,0,0,0,0,0,1013,192,324,210,118,41,87,24
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Gemeentehuis,0148::SB7,7721 AX,1025,586,12,3,0,0,0,549,52,0,0,0,0,0,0,601,166,175,51,101,16,54,23
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1325,964,19,5,7,0,0,916,79,0,0,0,7,0,0,995,258,273,186,111,30,66,40
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,1002,445,12,8,0,0,0,420,45,0,0,0,0,0,0,465,60,169,11,132,5,55,13
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1618,655,7,5,0,0,0,610,57,0,0,0,0,0,0,667,160,200,84,120,14,56,21
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Hofje van Buisman,0148::SB11,8151 BL,1186,559,16,5,0,0,0,538,42,0,0,0,0,0,0,580,74,175,22,204,11,61,12
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau NH Jeugdgebouw,0148::SB12,7711 CD,1694,929,15,4,0,0,0,863,85,0,0,0,0,0,0,948,188,305,158,129,24,92,33
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau CBS Het Kompas,0148::SB13,7711 GC,1053,488,7,1,0,0,0,437,59,0,0,0,0,0,0,496,78,150,78,57,80,38,7
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Maranathakerk,0148::SB14,7711 HS,1443,722,11,1,0,0,0,652,82,0,0,0,0,0,0,734,148,165,163,79,78,64,25
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau Restaurant Madrid,0148::SB15,7722 HS,500,243,3,0,0,0,0,203,43,0,0,0,0,0,0,246,45,131,7,20,17,16,7
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Schakel,0148::SB16,7711 KK,1557,691,15,5,0,0,0,640,71,0,0,0,0,0,0,711,142,189,157,98,13,72,20
Groot Salland,Dalfsen,AB2015_GrootSalland,Algemeen bestuur van het waterschap Groot Salland 2015,,Groot Salland,2015-03-18,Stembureau De Hulstkampen,0148::SB17,7711 JE,1363,639,4,4,0,0,0,599,48,0,0,0,0,0,0,647,148,186,140,69,27,34,35
