contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Stadhuis,0988::SB1,6000 AZ,1882,943,57,10,0,0,0,917,93,0,0,0,0,0,0,1010,565,2,1,162,4,147,62
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Odaschool Anjelierstraat,0988::SB3,6002 TP,1871,699,24,15,0,0,0,655,83,0,0,0,0,0,0,738,454,4,5,97,5,73,61
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Blokhut Scouting Fatima,0988::SB4,6001 TZ,2126,630,16,21,1,0,0,615,53,0,0,0,1,0,0,668,420,5,3,114,3,33,52
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Jongerencentrum M29,0988::SB5,6001 BN,1129,452,17,7,0,0,0,425,51,0,0,0,0,0,0,476,293,3,1,56,6,64,29
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sporthal Aan de Bron,0988::SB6,6004 GC,1461,578,25,8,0,9,0,568,47,0,0,0,4,5,0,615,389,7,6,76,8,55,37
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum Hieronymus,0988::SB7,6001 AP,1562,579,22,4,0,0,0,548,57,0,0,0,0,0,0,605,333,2,5,116,5,76,42
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Brede school Markeent,0988::SB8,6006 JN,1880,491,29,8,0,0,0,471,57,0,0,0,0,0,0,528,335,4,2,84,12,36,18
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Wijkgebouw Keenter Hart,0988::SB9,6006 ZH,1897,727,46,11,0,0,0,732,52,0,0,0,0,0,0,784,469,8,4,128,19,53,46
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sportpark Graswinkel,0988::SB10,6005 JZ,1872,708,23,6,0,0,0,662,75,0,0,0,0,0,0,737,463,7,3,107,7,60,61
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau MFA Kimpeveld,0988::SB11,6005 SR,810,424,14,1,0,0,0,401,38,0,0,0,0,0,0,439,246,2,6,117,0,34,19
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sportpark Op den Das,0988::SB12,6006 TL,852,357,12,12,0,0,0,341,41,0,0,0,1,0,1,382,249,2,1,48,3,45,9
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Trefcentrum Willem Litjenshof,0988::SB13,6002 CW,1780,684,20,7,0,0,0,645,66,0,0,0,0,0,0,711,502,5,3,68,3,75,28
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Kantine SV Laar,0988::SB14,6003 BD,2433,866,31,16,0,0,0,807,106,0,0,0,0,0,0,913,561,8,5,107,5,118,62
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau St. Franciscusschool,0988::SB15,6003 NW,1490,541,27,10,0,0,0,518,60,0,0,0,0,0,0,578,342,2,1,69,4,86,37
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Schutterslokaal De Krang,0988::SB17,6005 NR,685,291,16,1,0,0,0,281,27,0,0,0,0,0,0,308,210,7,1,35,0,24,14
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau School het Palet,0988::SB20,6006 AH,922,295,10,4,0,0,0,287,22,0,0,0,0,0,0,309,188,3,2,44,11,26,21
Peel en Maasvallei,Weert,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum St. Martinus,0988::SB22,6001 BE,1043,366,15,2,0,0,0,360,23,0,0,0,0,0,0,383,228,5,6,59,2,40,26
