contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Gemeentehuis,0584::SB1,,1457,870,28,10,0,0,0,798,110,0,0,0,0,0,0,908,177,75,75,90,75,172,52,57,35,10,52
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Kerkelijk Centrum ""Maranatha""",0584::SB2,,1400,729,14,4,0,0,0,660,87,0,0,0,0,0,0,747,129,72,46,61,54,213,17,65,19,5,48
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Egmontshof,0584::SB3,,1378,622,10,2,0,0,0,559,75,0,0,0,0,0,0,634,134,69,48,51,62,114,23,63,15,3,40
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Vergadercentrum de Lindenhoeve,0584::SB4,,1187,534,6,1,0,0,0,450,91,0,0,0,0,0,0,541,103,45,31,53,63,127,10,50,11,2,39
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Kantine voetbalver. Zinkwegse Boys,0584::SB5,,360,202,4,0,0,0,0,180,26,0,0,0,0,0,0,206,59,20,18,21,32,23,9,11,2,2,5
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Vrijetijdscentrum De Boogerd,0584::SB6,,1278,748,10,1,0,0,0,666,93,0,0,0,0,0,0,759,130,96,42,51,84,143,52,65,27,8,50
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Restaurant De Gravin,0584::SB7,,1361,563,10,6,0,0,0,516,63,0,0,0,0,0,0,579,110,75,34,38,60,89,17,44,33,13,50
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Zorglocatie 'Sabina' (Zoomhoek),0584::SB8,,2105,898,13,4,0,0,0,814,101,0,0,0,0,0,0,915,249,79,63,117,93,60,34,71,47,21,64
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Open Waard,0584::SB9,,1936,926,30,6,0,0,0,861,101,0,0,0,0,0,0,962,247,108,111,116,74,41,42,61,41,15,70
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,"Stembureau Wijkgebouw ""Oosterse Gorzen""",0584::SB10,,1610,658,13,7,0,0,1,616,61,0,0,0,0,0,0,678,188,63,53,82,79,39,44,26,32,12,40
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Centrummanagement,0584::SB11,,1638,612,8,3,0,0,0,540,83,0,0,0,0,0,0,623,152,58,60,55,111,36,18,37,20,9,56
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Dienstencentrum Zuidwester,0584::SB12,,1333,512,12,1,0,0,0,460,65,0,0,0,0,0,0,525,114,54,34,39,103,33,25,32,10,9,59
Hollandse Delta,Oud-Beijerland,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Bethelkerk,0584::SB13,,1485,746,12,2,0,0,0,656,104,0,0,0,0,0,0,760,177,84,51,86,138,38,27,50,39,16,40
