contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Gemeentekantoor,1904::SB1,3601 GR,0,34,0,1,0,0,1,32,2,0,0,0,0,0,0,35,9,2,3,12,1,1,0,0,6
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Woonzorgcentrum Maria Dommer,1904::SB2,3601 EX,0,20,3,1,3,0,0,26,2,0,1,0,4,0,0,28,3,5,4,4,1,1,0,0,2
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool 't Palet(Troelstrastr.),1904::SB3,3601 WD,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Merenhoef,1904::SB4,3601 AC,0,18,0,0,0,2,0,12,4,0,0,2,0,0,0,16,9,1,0,0,2,2,2,0,2
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool 't Palet(Buitenweg),1904::SB5,3602 ZK,0,19,2,0,0,0,0,18,3,0,0,0,0,0,0,21,6,1,1,8,2,1,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Restaurant Belle,1904::SB6,3611 AE,1017,473,13,1,0,2,0,419,70,0,0,0,2,0,0,489,98,35,43,208,18,26,15,1,29
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau CBS de Klaroen(Ds Ulferslaan),1904::SB7,3612 BH,0,7,0,0,0,0,0,6,1,0,0,0,0,0,0,7,2,1,2,2,0,0,0,0,0
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Basisschool Het Kompas,1904::SB8,3603 AZ,4,17,1,2,0,2,0,15,3,0,0,2,0,0,0,18,3,3,3,6,1,0,0,0,1
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau WereldKidz Palet(ingang Bolens),1904::SB9,3603 CN,75,18,0,0,0,0,0,16,2,0,0,0,0,0,0,18,3,4,0,8,1,0,0,0,2
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau KBS De Wilde Wingerd,1904::SB10,3608 TK,1373,598,17,3,0,1,0,574,43,0,0,1,0,0,0,617,139,80,80,77,51,37,44,7,83
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Shelter Scouting naast ambulance,1904::SB11,3607 BX,1350,602,15,7,0,1,1,583,39,0,0,1,0,0,0,623,124,81,72,140,68,25,27,10,55
De Stichtse Rijnlanden,Stichtse Vecht,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Wereldkidz Tweesprong  Fazantenkamp,1904::SB12,3607 CH,1739,789,22,1,0,1,0,719,94,0,0,0,1,0,0,813,177,106,105,183,31,28,42,13,104
