contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Waterschap@inwonersbelangen,Algemene Waterschapspartij,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Stadhuis,0353::SB1,3401 BK,1254,713,19,4,0,0,1,674,61,0,0,0,0,0,0,736,167,121,56,161,77,20,44,11,56
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau OBS De Tandem,0353::SB2,3402 HP,1539,753,15,5,0,0,0,709,64,0,0,0,0,0,0,773,210,92,75,103,98,36,45,9,85
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Studio 10,0353::SB3,3402 VD,1915,527,9,1,0,0,0,496,41,0,0,0,0,0,0,537,130,59,93,56,78,16,28,3,64
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Kanovereniging,0353::SB4,3402 MJ,1465,523,12,6,0,0,0,488,53,0,0,0,0,0,0,541,126,110,50,95,56,15,30,10,31
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Ewoud,0353::SB5,3401 RH,1841,823,20,2,0,1,0,747,99,0,0,0,0,0,0,846,151,144,63,141,93,22,82,56,71
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Ontmoetingskerk,0353::SB6,3402 BG,1098,596,10,5,0,1,0,570,42,0,0,0,1,0,0,612,135,125,51,116,56,29,35,19,30
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau 't Kruispunt,0353::SB7,3401 CB,2027,962,22,6,0,0,0,885,105,0,0,0,0,0,0,990,213,155,115,168,95,40,72,29,75
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Oase,0353::SB8,3401 BZ,729,321,7,3,0,0,0,303,28,0,0,0,0,0,0,331,52,105,29,60,26,12,9,11,17
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Groene Olijftak,0353::SB9,3401 GL,1576,740,13,6,0,1,0,677,83,0,0,0,1,0,0,760,159,101,69,171,91,17,46,13,73
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau CBS De Brug,0353::SB10,3401 GX,1403,537,6,6,0,0,1,487,61,0,0,0,0,0,0,549,104,87,45,115,58,21,58,22,27
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De  Opstap,0353::SB11,3401 GX,1535,1004,10,6,0,0,0,887,133,0,0,0,0,0,0,1020,214,153,82,181,138,34,76,44,82
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau WOC Gebouw,0353::SB12,3404 EX,1774,640,13,2,2,1,0,587,71,0,0,0,3,0,0,658,141,77,99,158,63,20,23,3,56
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau OBS De Torenuil,0353::SB13,3404 CJ,1735,693,10,5,0,0,0,621,87,0,0,0,0,0,0,708,150,79,69,158,106,15,39,0,77
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau Tramzicht,0353::SB14,3404 CP,2033,856,22,10,0,4,3,796,93,0,0,0,4,0,0,892,201,93,90,224,87,28,48,6,79
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau OBS De Trekvogel,0353::SB15,3401 GX,1237,465,8,4,0,0,0,405,72,0,0,0,0,0,0,477,103,67,44,112,41,14,37,11,36
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau IJVO Gebouw,0353::SB16,3403 ZS,1079,367,7,0,0,0,0,349,25,0,0,0,0,0,0,374,103,49,42,49,39,9,27,7,42
De Stichtse Rijnlanden,IJsselstein,AB2015_DeStichtseRijnlanden,Algemeen bestuur van het hoogheemraadschap De Stichtse Rijnlanden 2015,,De Stichtse Rijnlanden,2015-03-18,Stembureau De Ark van Noach,0353::SB17,3404 JS,1823,459,6,2,0,0,0,419,48,0,0,0,0,0,0,467,95,67,41,117,46,8,37,9,39
