contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Gemeentehuis ingang ""Oude Raadhuis""",0203::SB1,3772 ER,892,481,5,3,0,0,0,436,55,0,2,0,2,0,0,491,24,99,33,107,17,66,92,12,31
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Basisschool ""De Bron""",0203::SB2,3771 CS,868,540,4,1,0,0,0,472,73,0,0,0,0,0,0,545,22,101,7,186,16,76,98,18,16
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Appartementencomplex Rumah Maluku,0203::SB3,3771 GR,1677,759,12,7,0,0,0,632,146,0,0,0,0,0,0,778,55,120,40,242,46,97,59,49,51
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Ontmoetingscentrum Bronveld,0203::SB4,3772 GR,1019,481,15,1,0,0,0,444,53,0,0,0,0,0,0,497,55,79,27,97,43,57,45,32,46
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Goede Herderkerk,0203::SB5,3772 BL,1389,950,11,4,0,0,0,844,121,0,0,0,0,0,0,965,52,222,55,205,43,113,137,55,68
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Ds.J. Fraanjeschool loc. De Vesting,0203::SB6,3772 AV,434,266,1,1,0,0,0,225,43,0,0,0,0,0,0,268,16,33,15,126,14,22,24,4,12
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Schaffelaartheater ingang Harmonie,0203::SB7,3772 KV,1299,792,11,7,0,0,0,707,103,0,0,0,0,0,0,810,32,100,25,299,40,113,102,37,44
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Basisschool Eben Haëzer,0203::SB8,3772 SR,1289,764,13,2,0,0,0,672,109,0,2,0,2,0,0,781,22,159,41,281,22,79,85,28,47
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Verpleeghuis ""Norschoten""",0203::SB9,3773 AW,751,596,0,7,0,1,0,533,71,0,0,0,1,0,0,604,41,86,25,251,21,60,68,27,17
Vallei en Veluwe,Barneveld,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,"Stembureau Daltonschool  ""Lange Voren""",0203::SB10,3773 AT,1308,1072,12,7,0,1,0,939,153,0,0,0,1,0,0,1092,40,225,59,367,35,147,141,20,38
