contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Gemeentehuis Heiloo,0399::SB1,1851 JL,2044,1179,43,11,0,1,0,1107,136,0,9,0,10,0,0,1243,213,147,137,280,156,94,61,7,11,40,21,12
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Basisschool Paulus,0399::SB2,1851 ZC,1431,716,11,3,0,0,1,655,74,0,0,0,0,0,0,730,143,93,62,140,142,34,28,8,10,40,11,5
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Basisschool De Springschans,0399::SB3,1851 MA,2077,1137,37,8,1,0,0,1090,93,0,0,0,1,0,0,1183,194,175,143,224,172,77,43,7,16,46,28,12
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Bowling Heiloo,0399::SB4,1851 ND,1331,642,15,0,0,0,0,593,64,0,0,0,0,0,0,657,95,98,60,127,99,50,34,10,8,40,11,10
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Wijkgebouw ""Ypsalon""",0399::SB5,1851 ZC,2035,918,22,9,0,0,0,870,79,0,0,0,0,0,0,949,181,101,91,237,144,42,37,9,12,41,17,6
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Jan van Rijckenborghschool,0399::SB6,1852 CC,2252,1175,26,8,0,0,0,1098,111,0,0,0,0,0,0,1209,193,166,116,263,192,103,50,9,14,32,32,5
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau Bibliotheek Heiloo,0399::SB7,1852 AR,1867,1201,31,12,0,0,0,1153,91,0,0,0,0,0,0,1244,191,237,130,199,182,83,51,11,15,69,22,11
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Basisschool ""Elckerlyc""",0399::SB8,1852 WS,1961,964,28,1,0,1,0,899,93,0,0,1,0,0,0,992,190,112,114,168,169,45,39,20,19,52,17,19
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,Stembureau De Benedictusschool,0399::SB9,1851 CK,1400,760,27,7,0,0,0,737,57,0,0,0,0,0,0,794,150,122,64,149,119,31,39,8,4,40,25,9
Hollands Noorderkwartier,Heiloo,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Basisschool ""Willibrord""",0399::SB10,1852 WS,1712,838,16,5,0,0,0,783,76,0,0,0,0,0,0,859,180,116,88,184,127,47,30,11,9,29,14,3
