contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Lokale Regiobelangen Rivierenland,Algemene Waterschapspartij,Staatkundig Gereformeerde Partij (SGP),VVD,ChristenUnie,Huiseigenaren,Partij voor de Dieren,PSP'92 Rivierenland,50PLUS
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau KunstPostWijchen,0296::SB1,6602 BB,1729,808,19,6,0,2,0,754,81,0,0,0,2,0,0,835,296,58,67,57,60,5,139,5,14,28,8,71
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Meander,0296::SB2,6601 AR,1710,549,19,4,0,0,0,507,65,0,0,0,0,0,0,572,135,51,77,42,69,3,44,4,21,38,8,57
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Jeugdhuis Woezik,0296::SB3,6604 CC,1910,901,14,12,0,0,0,804,123,0,0,0,0,0,0,927,203,110,110,65,80,2,171,7,39,39,11,64
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Paschalishonk,0296::SB4,6604 CM,1809,642,14,2,0,0,0,595,63,0,0,0,0,0,0,658,123,88,79,60,52,0,122,7,25,26,8,52
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau La Verna,0296::SB5,6603 AM,2211,876,12,7,0,4,0,774,130,0,5,0,9,0,0,904,366,71,62,48,58,4,112,9,24,58,9,55
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Dorpshuis 'De Waaijershof',0296::SB6,6606 KC,332,218,0,0,0,0,0,185,33,0,0,0,0,0,0,218,85,21,18,4,46,0,30,3,3,3,0,5
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Wijkgebouw Wijchen Oost,0296::SB7,6603 AE,1812,706,16,1,0,0,0,634,89,0,0,0,0,0,0,723,160,79,89,43,96,0,77,4,17,47,9,85
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Brede school Noorderlicht,0296::SB8,6601 DL,1856,780,10,5,0,0,1,712,82,0,0,0,0,0,0,795,162,115,110,83,76,2,47,7,24,33,11,110
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Wijkgebouw Wijchen Zuid,0296::SB9,6605 HN,1516,733,20,8,0,0,0,680,81,0,0,0,0,0,0,761,129,101,96,63,57,1,79,8,25,70,18,86
Rivierenland,Wijchen,AB2015_Rivierenland,Algemeen bestuur van het waterschap Rivierenland 2015,,Rivierenland,2015-03-18,Stembureau Wijkcentrum 't Achterom,0296::SB10,6601 XW,1672,639,14,5,0,0,0,608,53,0,0,0,3,0,3,661,93,91,90,56,70,12,47,9,21,39,18,93
