contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Stadhuis,0222::SB1,7001EW,1278,614,21,12,0,0,2,586,59,0,0,0,0,0,0,647,136,144,74,127,16,23,52,5,37
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Montessorischool De Pas,0222::SB2,7001GL,1271,568,21,10,0,0,1,533,65,0,0,0,0,0,0,599,124,128,105,100,20,17,47,6,21
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Ontmoetingscentrum De Daele,0222::SB3,7002HC,1736,843,19,6,0,0,0,816,52,0,0,0,0,0,0,868,188,195,136,103,32,32,72,13,72
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Trefcentrum Het Trommelslag,0222::SB4,7002AZ,1781,670,20,8,0,0,0,640,58,0,0,0,0,0,0,698,139,133,128,75,31,28,66,1,69
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau OBS Overstegen,0222::SB5,7002KA,1364,480,7,3,0,0,0,457,33,0,0,0,0,0,0,490,89,114,107,30,36,20,48,4,32
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Speeltuinvereniging Schoneveld,0222::SB6,7003BK,1522,584,14,2,0,0,0,561,39,0,0,0,0,0,0,600,114,134,116,67,20,17,68,5,43
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Schavenweideq,0222::SB7,7003EB,1307,512,7,3,0,0,0,486,36,0,0,0,0,0,0,522,146,104,86,73,12,23,35,5,28
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Zozijn,0222::SB8,7004KA,1304,414,10,2,0,0,0,394,32,0,0,0,0,0,0,426,97,100,69,73,13,11,17,8,26
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau De Zonneboom,0222::SB9,7004EL,1336,555,22,7,0,0,0,540,44,0,0,0,0,0,0,584,127,119,92,89,18,25,56,1,28
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool IJzevoorde,0222::SB10,7004HT,584,352,6,4,0,0,0,326,36,0,0,0,0,0,0,362,130,52,20,63,12,11,53,3,8
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Het Weerdje,0222::SB11,7006BG,865,471,15,3,0,0,0,444,47,0,2,0,2,0,0,491,117,116,69,78,13,13,41,2,22
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Buurthuis Fort Garry Horse,0222::SB12,7007BK,886,304,9,2,0,0,0,287,28,0,0,0,0,0,0,315,42,72,61,40,18,13,31,2,25
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Verpleeghuis Den Ooiman,0222::SB13,7006AM,1047,482,7,0,0,0,0,451,38,0,0,0,0,0,0,489,125,108,65,113,12,10,25,4,20
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau OBS Hagen,0222::SB14,7009CZ,1283,575,9,6,3,0,2,536,55,0,0,0,3,0,0,593,129,128,138,76,20,19,34,4,27
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool Het Palet,0222::SB15,7009GR,1650,369,12,2,0,2,0,346,35,0,0,2,0,0,0,381,52,110,70,21,22,13,36,5,40
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool De Wijngaard,0222::SB16,7009DZ,1673,797,27,0,0,0,0,754,70,0,0,0,0,0,0,824,293,149,109,93,33,24,43,4,49
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sint Martinusschool,0222::SB17,7011AD,1196,505,12,1,0,0,0,471,47,0,0,0,0,0,0,518,141,81,64,67,11,31,78,3,29
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sporthal De Pol,0222::SB18,7011BJ,1055,414,14,3,0,0,0,399,32,0,0,0,0,0,0,431,116,89,67,36,14,25,42,2,23
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Ontmoetingscentrum St Augustinus,0222::SB19,7011GB,1178,511,17,5,0,0,1,494,38,0,0,0,0,0,0,533,139,83,70,78,14,31,62,5,29
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Het Nieuwe Pelgrim,0222::SB20,7011DS,990,489,15,2,1,0,0,461,44,0,0,1,0,0,0,505,140,77,71,60,17,23,61,3,37
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau OBS De Huet,0222::SB21,7006DG,1099,566,21,3,0,0,0,531,59,0,0,0,0,0,0,590,103,150,108,72,22,18,45,8,40
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Waterschapsgebouw,0222::SB22,7006GG,1493,472,7,7,0,0,1,485,0,0,0,0,0,0,0,486,83,136,70,71,13,22,39,7,31
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool de Wegwijzer (A),0222::SB23,7006SM,1696,686,26,4,0,0,0,647,69,0,0,0,0,0,0,716,119,181,125,96,24,25,72,4,40
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sporthal De Bongerd,0222::SB24,7006NH,1563,852,24,2,0,0,0,832,46,0,0,0,0,0,0,878,158,225,154,94,39,35,73,7,67
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool de Wegwijzer (B),0222::SB25,7009SM,1700,557,11,1,4,0,0,521,52,0,0,4,0,0,0,573,127,144,89,70,21,20,59,0,27
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Wijkcentrum De Zuwe,0222::SB26,7006AH,1365,632,17,5,0,0,2,590,62,0,0,0,0,0,0,654,151,147,102,95,17,25,42,6,47
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Kunstgalerij Het Web,0222::SB27,7001DL,1944,656,23,9,0,1,0,626,61,0,0,1,0,0,0,687,132,148,146,68,27,24,47,2,62
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Basisschool Dichterbij,0222::SB28,7007LA,1541,676,16,5,0,0,2,567,128,0,0,0,0,0,0,697,142,157,136,114,23,18,57,5,24
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Appartementencomplex Waterrijk,0222::SB29,7007LB,1904,852,10,6,0,0,0,796,72,0,0,0,0,0,0,868,185,196,132,154,27,26,73,11,48
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Oldershove,0222::SB30,7031VE,1643,720,18,7,0,0,0,688,57,0,0,0,0,0,0,745,251,142,79,74,11,69,53,2,39
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Verenigingsgebouw Ons Huis,0222::SB31,7031AG,1525,663,14,4,0,0,0,602,80,0,1,0,1,0,0,682,230,138,65,66,16,55,49,2,42
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpsaccomodatie De Horst,0222::SB32,7031HJ,1157,419,4,1,0,0,0,379,45,0,0,0,0,0,0,424,160,102,19,33,13,52,22,4,14
Rijn en IJssel,Doetinchem,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Appartementencomplex Henricushove,0222::SB33,7031AR,1169,511,14,5,0,0,0,486,44,0,0,0,0,0,0,530,164,83,62,70,21,49,29,4,29
