contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau OBS Valckesteyn Noord,0613::SB1,3176 VA,1989,807,16,12,0,1,0,751,85,0,0,0,1,0,0,836,258,62,60,75,128,21,72,32,55,17,27
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Sociaal-Cultureel centrum De Brinkhoeve,0613::SB2,3171 GG,1443,578,8,6,0,0,0,550,42,0,0,0,0,0,0,592,154,90,51,57,58,30,48,29,33,14,14
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Delta Psychiatrisch Centrum,0613::SB3,3172 AA,1163,335,11,5,0,0,0,318,33,0,0,0,0,0,0,351,86,51,45,37,38,1,32,11,13,11,10
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau FPC De Kijvelanden,0613::SB4,3172 AB,176,23,0,0,0,0,0,22,1,0,0,0,0,0,0,23,5,0,4,5,2,0,3,0,2,1,1
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Hooge Werf Zorgcentrum,0613::SB5,3171 BJ,1713,890,17,6,0,4,0,831,86,0,0,0,4,0,0,917,234,113,82,74,129,34,70,32,69,14,39
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Korfbalvereniging RWA,0613::SB6,3171 DC,1196,536,13,6,0,0,0,489,65,0,0,1,0,0,0,554,170,60,36,33,87,17,49,20,24,14,26
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau OBS De Overkant Noord,0613::SB7,3161 LG,1484,704,23,0,2,0,0,674,51,0,0,2,0,0,0,725,205,96,54,71,79,6,33,34,78,18,30
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Hervormd Centrum,0613::SB8,3161 AC,1348,539,17,4,0,0,0,510,50,0,0,0,0,0,0,560,149,82,36,56,63,4,33,50,35,16,15
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Maranathakerk Rhoon,0613::SB9,3161 HG,1487,888,13,15,0,10,0,831,75,0,0,10,0,0,0,906,244,159,46,66,166,20,40,60,59,5,23
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau De Klepperwei,0613::SB10,3161 TW,1185,691,20,5,0,0,0,660,56,0,0,0,0,0,0,716,225,98,43,41,81,12,49,29,73,13,27
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Lawn Tennis Club Rhoon,0613::SB11,3161 GM,1057,417,13,4,0,0,2,370,62,0,0,0,0,0,0,434,120,52,27,33,99,1,24,23,17,5,16
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Campus Portland,0613::SB12,3162 WD,1194,256,7,3,0,0,0,224,42,0,0,0,0,0,0,266,72,21,16,32,59,5,11,12,6,12,10
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkgebouw Portland,0613::SB13,3162 WK,2675,1037,35,13,0,0,0,981,104,0,0,0,0,0,0,1085,276,119,84,90,197,23,41,49,84,32,42
Hollandse Delta,Albrandswaard,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Portocabin Parels,0613::SB14,3162 VK,1295,563,14,1,0,1,0,516,63,0,0,0,1,0,0,579,155,56,35,32,119,14,25,40,34,13,40
