contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Stadhuis I,0106::SB1,9401 JW,0,19,0,1,0,0,0,19,1,0,0,0,0,0,0,20,1,4,7,3,0,4,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Anholt,0106::SB2,9401 AG,0,8,0,0,0,0,0,5,3,0,0,0,0,0,0,8,2,0,6,0,0,0,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau De Boshof,0106::SB3,9401 PM,0,7,0,1,0,0,0,8,0,0,0,0,0,0,0,8,0,3,0,2,0,0,2
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau De Slingeborgh,0106::SB4,9406 EA,3,6,0,0,0,0,0,4,2,0,0,0,0,0,0,6,0,1,3,1,1,0,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau de Wijde Blik,0106::SB5,9406 CE,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,10,2,1,4,0,0,0,3
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau de Steiger,0106::SB7,9406 GT,128,33,1,0,0,0,0,34,0,0,0,0,0,0,0,34,7,6,2,4,8,4,2
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Arendshorst,0106::SB8,9402 JK,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,1,1,0,2,1,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Maria in Campisschool,0106::SB9,9402 JA,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau De Componist,0106::SB10,9402 VG,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Reest en Wieden,Assen,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Amstelflat,0106::SB11,9406 TA,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1
