contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentehuis,1876::SB1,7255 KA,1484,747,12,4,0,1,0,688,76,0,0,0,1,0,0,764,229,114,75,139,49,51,54,5,31
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Sporthal De Kamp / Hengelo Gld,1876::SB2,7255 CX,1557,642,10,5,0,0,0,612,45,0,0,0,0,0,0,657,189,68,60,130,40,53,56,5,41
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Ons Huis / Hengelo Gld,1876::SB3,7255 DM,1439,620,7,2,0,0,0,572,57,0,0,0,0,0,0,629,197,79,63,127,36,43,41,6,28
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,7256 BC,1446,659,5,9,0,0,0,607,68,0,2,0,2,0,0,675,270,69,39,103,27,71,42,4,34
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Voormalige school Varssel,1876::SB5,7255 MR,676,303,8,1,0,0,1,282,29,0,0,0,0,0,0,312,102,55,28,62,11,22,13,3,7
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Cult. centrum De Brink / Zelhem,1876::SB6,7021 CN,1478,683,10,5,0,0,0,616,82,0,0,0,0,0,0,698,194,113,61,137,26,32,93,5,22
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Muziekcentrum Union Zelhem,1876::SB7,7021 KH,1462,645,20,1,0,0,0,607,59,0,0,0,0,0,0,666,195,77,65,125,43,26,86,5,23
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Dorpshuis D'n Draejer / Zelhem,1876::SB8,7021 KT,910,399,9,1,2,0,0,369,38,0,0,2,0,0,0,407,155,44,28,63,15,38,35,5,16
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau ARX theater / Zelhem,1876::SB9,7021 HC,649,254,2,4,0,0,1,225,34,0,0,0,0,0,0,260,74,27,18,70,21,9,24,3,8
Rijn en IJssel,Bronckhorst,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Voorm. basisschool Halle-Heide,1876::SB10,7025 CL,468,248,2,0,0,0,0,227,23,0,0,0,0,0,0,250,64,39,29,24,12,54,21,0,5
