contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeentehuis,0888::SB1,6191 KA,1165,647,32,3,0,0,0,624,58,0,0,0,0,0,0,682,37,375,64,16,23,5,93,34
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau De Dagbeeker,0888::SB2,6191 TX,1170,503,8,11,0,0,0,460,62,0,0,0,0,0,0,522,11,302,66,15,16,10,53,30
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Duivenlokaal,0888::SB3,6191 TK,1207,518,17,5,0,0,0,485,53,0,0,2,0,0,2,538,30,316,59,20,13,4,44,32
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Woon-/Zorgcentrum,0888::SB4,6191 KZ,1156,546,28,5,0,0,0,541,39,0,1,0,1,0,0,580,34,310,71,12,9,7,70,33
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verenigingslokaal L'Union,0888::SB5,6191 BN,1229,485,23,3,1,0,0,465,47,0,0,0,1,0,0,512,16,309,55,16,11,11,36,31
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Muziekschool,0888::SB6,6191 VP,1179,407,22,8,0,0,0,402,35,0,0,0,0,0,0,437,18,246,51,13,12,15,23,29
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Neerbeek,0888::SB7,6191 GN,992,561,19,12,0,0,0,543,49,0,0,0,0,0,0,592,21,359,71,14,14,11,36,35
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,"Stembureau Verenigingslokaal ""Willem Tell""",0888::SB8,691 RP,470,207,9,3,0,0,0,196,23,0,0,0,0,0,0,219,13,111,33,13,8,1,17,11
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis Genhout,0888::SB9,6191 NZ,995,482,20,1,0,0,0,453,47,0,0,3,0,3,0,500,37,288,51,24,5,9,51,17
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau WOZOCO,0888::SB10,6176 BE,1098,505,13,3,1,0,0,462,60,0,0,0,1,0,0,522,34,324,63,19,8,6,27,24
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Bejaarden Sociëteit,0888::SB11,6176 AS,991,451,27,2,0,0,0,441,39,0,0,0,0,0,0,480,19,299,49,19,5,3,27,30
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verenigingslokaal Schutterij,0888::SB12,6176 BZ,785,354,16,7,0,0,0,325,45,0,0,7,0,7,0,370,28,201,48,7,10,2,33,25
Roer en Overmaas,Beek,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau School de Bron,0888::SB13,6191 EK,1036,315,16,3,0,0,0,292,42,0,0,0,0,0,0,334,16,194,34,11,4,7,37,12
