contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Vrienden van de Berkel,Vereniging Kleine Kernen Gelderland,Algemene Waterschapspartij,Ondernemend Waterschap,50PLUS
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Gemeentekantoor,0294::SB1,7101GH,2418,1194,34,6,0,0,2,1134,99,0,1,0,1,0,0,1235,274,181,207,143,204,59,47,17,62
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Wooncomplex Wonen Plus 't Wamelink,0294::SB2,7101TJ,2153,781,18,8,0,0,0,752,55,0,0,0,0,0,0,807,180,100,129,127,149,34,23,13,26
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Regionaal Verpleeghuis Pronsweide,0294::SB3,7101BK,2055,915,23,4,0,0,0,850,89,0,0,3,0,3,0,939,218,108,150,126,178,45,35,6,49
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau o.b.s. De Kolibrie,0294::SB4,7101VG,1816,602,19,5,0,0,0,580,46,0,0,0,0,0,0,626,110,90,157,47,104,20,35,3,36
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum De Pelkwijk,0294::SB5,7101WL,1846,730,16,5,0,0,0,707,44,0,0,0,0,0,0,751,155,98,139,72,132,48,17,8,61
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum Vredense Hof,0294::SB6,7101LM,1994,756,14,6,0,0,0,711,67,0,0,0,2,0,0,778,149,75,202,64,162,24,25,7,48
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Woonzorgcentrum De Berkhof,0294::SB7,7103VX,2131,846,24,1,0,0,0,815,56,0,0,0,0,0,0,871,193,74,163,87,170,47,40,8,64
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau o.b.s. Bargerpaske,0294::SB8,7103AW,2632,1173,30,6,0,0,0,1111,98,0,0,0,0,0,0,1209,249,124,248,168,231,48,42,12,51
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau o.b.s. De Schakel,0294::SB9,7102CN,1816,738,15,4,0,0,0,703,54,0,0,0,0,0,0,757,167,88,142,97,131,38,30,13,32
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Verenigingsgebouw De Eendracht,0294::SB10,7104AK,1150,605,3,1,0,0,0,565,44,0,0,0,0,0,0,609,220,51,68,91,124,26,13,5,7
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Centrumgebouw camping 'de Twee Bruggen',0294::SB11,7109AH,722,344,8,2,0,0,0,310,44,0,0,0,0,0,0,354,140,44,28,69,26,17,4,4,12
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Emmaschool Henxel,0294::SB12,7113AE,841,423,6,2,0,0,0,381,50,0,0,0,0,0,0,431,174,35,24,94,55,20,9,2,10
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Zalencentrum Reuselink,0294::SB13,7115AG,1521,647,9,4,0,0,0,586,74,0,0,0,0,0,0,660,180,74,72,138,79,67,21,1,15
Rijn en IJssel,Winterswijk,AB2015_RijnenIJssel,Algemeen bestuur van het waterschap Rijn en IJssel 2015,,Rijn en IJssel,2015-03-18,Stembureau Streekziekenhuis Koningin Beatrix,0294::SB14,7101BN,0,158,8,0,0,0,0,140,26,0,0,0,0,0,0,166,38,28,26,13,30,6,5,4,8
