contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Raadhuis,0928::SB1,6461 EB,1634,872,50,11,0,0,0,851,82,0,0,0,0,0,0,933,612,9,137,36,11,18,23,26
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Kapelhof,0928::SB2,6461 EH,1054,388,22,5,0,0,0,356,59,0,0,0,0,0,0,415,282,7,63,13,2,5,7,9
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool De Diabolo,0928::SB3,6461 EX,1384,487,14,7,0,0,0,466,42,0,0,0,0,0,0,508,353,6,71,16,1,7,21,12
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool De Schatkist,0928::SB4,6462 HC,1850,443,8,8,0,0,0,402,57,0,0,0,0,0,0,459,337,7,53,5,4,6,12,19
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Vroenhof,0928::SB5,6462 VA,1443,476,12,16,0,0,0,461,43,0,0,0,0,0,0,504,318,19,70,19,3,10,11,26
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Café Ackens,0928::SB6,6462 CS,1184,292,5,3,0,0,0,268,32,0,0,0,0,0,0,300,205,10,37,7,8,5,9,11
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Café Ejen Bouwerweij,0928::SB7,6462 CP,1538,392,11,2,0,0,0,352,53,0,0,0,0,0,0,405,300,12,42,7,5,4,6,16
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Catharinahoes,0928::SB8,6461 JK,1812,670,30,8,0,0,0,629,79,0,0,0,0,0,0,708,466,19,116,17,4,3,19,26
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool St. Ursula,0928::SB9,6461 BS,1215,487,22,6,0,0,0,459,56,0,0,0,0,0,0,515,343,9,78,13,7,8,17,12
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Brede School de Steltloper,0928::SB10,6463 VZ,914,349,20,4,1,0,0,333,41,0,0,0,1,0,0,374,233,6,66,5,6,6,6,21
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Parochiezaaltje,0928::SB11,6463 AS,1315,398,17,0,0,0,0,371,44,0,0,0,0,0,0,415,272,10,74,8,4,6,9,15
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum Hoog Anstel,0928::SB12,6463 XX,834,278,9,3,0,0,0,263,27,0,0,0,0,0,0,290,204,7,42,6,2,1,9,7
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Oleanderhof,0928::SB13,6463 GN,1383,437,17,4,0,0,0,408,50,0,0,0,0,0,0,458,317,10,59,13,5,7,3,23
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Centrum Op de Bies,0928::SB14,6463 DM,1728,434,20,1,0,0,0,410,45,0,0,0,0,0,0,455,319,17,44,9,4,5,24,12
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau (voormalig Schoolgebouw) Scouting,0928::SB15,6464 CH,1415,486,17,3,0,0,0,453,53,0,0,0,0,0,0,506,348,13,74,15,2,2,13,19
Roer en Overmaas,Kerkrade,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gebouw speeltuin van Meertenstraat,0928::SB16,,1322,377,12,3,0,0,0,346,46,0,0,0,0,0,0,392,259,10,62,7,5,4,11,19
