contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Socialistische Waterschapsvereniging,Partij voor de Dieren,Eigen Woning en Water !,Algemene Waterschapspartij,Recreatie Wonen en Water,ChristenUnie - SGP,50PLUS,De Groenen,Partij voor Mens en Spirit (MenS)
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Gemeentehuis,0451::SB1,1423 AJ,1432,963,20,6,0,1,0,904,84,0,0,1,0,0,0,988,139,105,186,108,12,56,33,204,12,22,47,30,9
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau De Springschans,0451::SB2,1423 ET,1428,719,25,1,0,0,1,661,83,0,0,0,0,0,0,745,144,56,132,81,13,54,43,117,9,8,39,21,2
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Lijn 5 N-H Train.center,0451::SB3,1423 SB,2009,864,22,0,0,0,0,799,87,0,0,0,0,0,0,886,125,69,230,106,20,62,37,130,10,18,33,20,4
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Dorpshuis de Quakel,0451::SB4,1424 BK,1653,759,10,6,0,0,0,687,89,0,1,0,775,0,0,776,94,45,173,189,5,37,22,107,14,20,29,16,8
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau R.K. Basisschool De Zon,0451::SB5,1424 AM,1547,673,12,6,0,0,0,617,74,0,0,0,0,0,0,691,74,41,150,160,9,41,22,99,11,21,32,8,5
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Buurthuis Ponderosa,0451::SB6,1421 XM,1720,577,12,10,0,0,0,548,51,0,0,0,0,0,0,599,87,50,76,79,15,45,23,126,7,11,34,21,3
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau het Duet,0451::SB7,1421 BN,1673,734,15,7,0,0,0,692,64,0,0,0,0,0,0,756,109,65,93,115,24,63,22,145,13,14,47,20,4
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Wijksteunpunt,0451::SB8,1422 DT,1487,754,22,8,0,0,0,742,42,0,0,0,0,0,0,784,126,93,115,149,15,53,29,81,6,13,50,22,2
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Het Hoge Heem,0451::SB9,1422 CB,1382,733,23,2,0,0,0,700,60,0,0,0,2,0,0,760,124,78,153,117,6,35,21,88,8,20,45,35,3
"Amstel, Gooi en Vecht",Uithoorn,AB2015_AmstelGooienVecht,"Algemeen bestuur van het hoogheemraadschap Amstel, Gooi en Vecht 2015",,"Amstel, Gooi en Vecht",2015-03-18,Stembureau Sportkantine De Scheg,0451::SB10,1422 LE,1399,520,17,1,0,0,0,495,43,0,0,0,0,0,0,538,75,72,67,61,28,47,15,69,9,17,36,13,11
