contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gemeentehuis,0018::SB1,,1144,802,9,10,0,0,1,738,82,0,0,0,0,0,0,821,184,171,92,135,45,65,37,73
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau De Reensche Compagnie,0018::SB2,,1157,472,9,10,0,0,0,459,32,0,0,0,0,0,0,491,125,111,42,21,33,32,35,73
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Woonzorgcentrum Voor Anker,0018::SB3,,1385,655,14,6,0,1,0,630,46,0,0,0,1,0,0,676,127,134,85,96,41,57,41,74
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Basisschool De Schakel,0018::SB4,,1248,403,7,0,0,0,0,369,42,0,1,0,1,0,0,411,98,81,42,23,27,28,41,63
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis Westerbroek,0018::SB5,,699,361,8,1,0,0,0,344,26,0,0,0,0,0,0,370,99,48,36,35,16,42,48,37
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau MFC Foxhol,0018::SB6,,931,371,3,4,0,0,0,343,35,0,0,0,0,0,0,378,57,60,43,24,22,47,42,76
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Dorpshuis Kropswolde,0018::SB7,,1457,831,13,14,2,0,0,759,97,0,0,2,0,0,0,856,171,92,73,277,40,66,54,58
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Woldhuus Kiel-Windeweer,0018::SB8,,709,368,4,0,0,0,0,334,40,0,2,0,2,0,0,374,80,61,50,60,9,37,44,27
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Wijkcentrum Spokie,0018::SB9,,1246,441,11,5,0,0,0,422,35,0,0,0,0,0,0,457,109,102,51,28,21,49,36,45
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Centrum De Stijgbeugel,0018::SB10,,1241,531,1,7,0,0,0,503,36,0,0,0,0,0,0,539,120,105,57,54,48,22,39,86
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Wijkcentrum De Kern,0018::SB11,,1457,529,6,7,0,0,0,506,36,0,0,0,0,0,0,542,134,91,47,32,31,47,46,101
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Wijkcentrum ""'t Spinneweb""",0018::SB12,,1329,469,11,3,0,0,0,439,44,0,0,0,0,0,0,483,97,94,51,36,34,46,46,65
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Basisschool Heidemeer,0018::SB13,,1126,481,15,1,0,0,0,456,41,0,0,0,0,0,0,497,119,92,36,56,36,43,42,57
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Verenigingsgebouw NH-Koepelkerk,0018::SB14,,1482,630,10,7,0,0,0,601,46,0,0,0,0,0,0,647,157,92,65,79,61,48,63,65
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Woonzorgcentrum Sint Jozef,0018::SB15,,1750,705,20,3,0,1,1,668,60,0,0,0,1,0,0,729,171,107,97,81,52,69,64,64
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Van Heemskerckschool,0018::SB16,,1532,610,17,10,0,0,0,592,45,0,0,0,0,0,0,637,145,105,68,88,33,55,68,48
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Basisschool De Tweemaster,0018::SB17,,1111,262,7,6,0,0,0,240,35,0,0,0,0,0,0,275,70,73,10,7,14,15,28,45
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Woonzorgcentrum ""De Burght""",0018::SB18,,1300,474,14,4,0,0,0,460,33,0,0,0,1,0,0,493,119,75,58,25,42,36,54,65
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Wijkcentrum Woldwijck,0018::SB19,,1362,505,10,3,0,0,0,482,39,0,3,0,3,0,0,521,115,100,33,35,38,31,67,86
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Basisschool Het Ruimteschip,0018::SB20,,1318,574,12,4,0,3,0,525,61,0,0,4,0,1,0,586,141,99,59,58,31,52,68,66
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Theo Thijssenschool,0018::SB21,,1204,457,8,10,0,0,0,439,36,0,0,0,0,0,0,475,120,81,45,29,26,37,53,66
Hunze en Aa's,Hoogezand-Sappemeer,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau Activiteitencentrum ""Suranti""",0018::SB22,,1475,578,16,8,0,0,1,533,68,0,0,0,0,0,0,602,115,83,79,123,54,51,34,39
