contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Ons Dorpshuis, Paterswolde",1730::SB1,9765 AP,1211,846,2,3,0,0,0,799,53,1,0,1,0,0,852,129,109,49,46,40,105,34,151,25,19,66,56,14,0,0,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau De Notenkraker, Eelde",1730::SB2,9765 AC,1275,623,4,1,0,0,0,570,58,0,0,0,0,0,628,115,69,46,16,25,86,28,90,18,9,73,29,19,0,0,0
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Verzorgingshuis Symphonie, Eelde",1730::SB3,9761 GR,1409,1059,2,1,0,0,2,965,95,0,0,0,0,0,1062,183,170,104,39,32,103,58,166,28,19,74,50,29,0,1,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Sportcentrum De Marsch, Paterswolde",1730::SB4,9765 EM,1295,1033,1,1,0,1,0,948,88,0,0,1,0,0,1036,196,150,57,51,24,111,47,193,26,23,79,49,20,0,0,7
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Restaurant 't Huys van Bunne, Bunne",1730::SB5,9496 PA,645,377,0,0,0,0,0,330,47,0,0,0,0,0,377,86,38,26,17,18,36,18,52,7,10,45,10,11,1,1,1
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau MFA Borchkwartier (1), Eelderwolde",1730::SB6,9766 PP,1033,731,1,0,0,4,1,659,76,0,0,4,0,0,736,167,65,46,19,9,149,41,127,10,10,49,22,11,1,2,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Verzorgingscentrum Kornoeljehof, Vries",1730::SB7,9481 AD,1013,618,4,2,0,0,0,566,58,0,0,0,0,0,624,96,98,45,36,28,70,33,59,16,22,49,19,42,0,2,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau OBS De Vijverstee, Vries",1730::SB8,9481 GA,1169,994,1,2,0,0,0,911,86,0,0,0,0,0,997,117,151,88,45,43,64,63,165,47,27,73,47,53,1,1,9
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau MFA Yders Hoes, Yde",1730::SB9,9494 RB,858,547,1,3,1,0,0,505,47,0,0,1,0,0,552,97,67,20,37,47,46,17,54,16,18,70,21,31,0,3,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau OBS het Oelebred, Tynaarlo",1730::SB10,9482 PP,1433,898,5,2,0,6,0,821,78,0,6,0,0,0,899,175,104,52,73,48,84,42,90,21,11,122,30,39,0,4,3
